gridnumber,capital,Portfolio[0 0],Portfolio[1 0],Portfolio[2 0],Portfolio[3 0],Portfolio[4 0],Portfolio[5 0],Portfolio[6 0],Portfolio[0 1],Portfolio[1 1],Portfolio[2 1],Portfolio[3 1],Portfolio[4 1],Portfolio[5 1],Portfolio[6 1],Portfolio[0 2],Portfolio[1 2],Portfolio[2 2],Portfolio[3 2],Portfolio[4 2],Portfolio[5 2],Portfolio[6 2],Portfolio[0 3],Portfolio[1 3],Portfolio[2 3],Portfolio[3 3],Portfolio[4 3],Portfolio[5 3],Portfolio[6 3],Portfolio[0 4],Portfolio[1 4],Portfolio[2 4],Portfolio[3 4],Portfolio[4 4],Portfolio[5 4],Portfolio[6 4],Portfolio[0 5],Portfolio[1 5],Portfolio[2 5],Portfolio[3 5],Portfolio[4 5],Portfolio[5 5],Portfolio[6 5],Portfolio[0 6],Portfolio[1 6],Portfolio[2 6],Portfolio[3 6],Portfolio[4 6],Portfolio[5 6],Portfolio[6 6]
254,28.2463,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
255,28.592,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
256,28.9417,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21
257,29.2954,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21
258,29.6532,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21
259,30.0151,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21,0.19,0.2,0.2,0.21,0.21,0.21,0.21
260,30.3813,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21
261,30.7517,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21
262,31.1264,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21
263,31.5054,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21
264,31.8888,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21
265,32.2767,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21
266,32.669,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21
267,33.0659,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21
268,33.4674,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21
269,33.8736,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21
270,34.2844,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21,0.19,0.19,0.2,0.2,0.21,0.21,0.21
271,34.7,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21,0.19,0.2,0.2,0.2,0.21,0.21,0.21
272,35.1205,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.21
273,35.5458,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
274,35.976,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.21,0.21,0.21,0.21
275,36.4112,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.21,0.21,0.21,0.21
276,36.8514,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.22
277,37.2968,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.22,0.22
278,37.7473,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.22,0.22
279,38.203,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.22,0.22,0.22,0.22
