gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
185,333.167,-4.55877,-4.55877,-4.55877,-4.55739,-4.5536,-4.55551,-4.55551,-4.55551,-4.55414,-4.55037,-4.55145,-4.55145,-4.55145,-4.55009,-4.54634,-4.54654,-4.54654,-4.54654,-4.54519,-4.54147,-4.54075,-4.54075,-4.54075,-4.53944,-4.53574
186,342.977,-4.49733,-4.49733,-4.49733,-4.49598,-4.49223,-4.49421,-4.49421,-4.49421,-4.49285,-4.48913,-4.49031,-4.49031,-4.49031,-4.48897,-4.48526,-4.48559,-4.48559,-4.48559,-4.48426,-4.48058,-4.48003,-4.48003,-4.48003,-4.47873,-4.47508
187,353.075,-4.43662,-4.43662,-4.43662,-4.43529,-4.43159,-4.43362,-4.43362,-4.43362,-4.43229,-4.42861,-4.42988,-4.42988,-4.42988,-4.42856,-4.4249,-4.42535,-4.42535,-4.42535,-4.42404,-4.42041,-4.42002,-4.42002,-4.42002,-4.41873,-4.41512
188,363.469,-4.37664,-4.37664,-4.37664,-4.37532,-4.37167,-4.37376,-4.37376,-4.37376,-4.37244,-4.36881,-4.37017,-4.37017,-4.37017,-4.36886,-4.36525,-4.36582,-4.36582,-4.36582,-4.36452,-4.36094,-4.3607,-4.3607,-4.3607,-4.35942,-4.35586
189,374.167,-4.31737,-4.31737,-4.31737,-4.31607,-4.31247,-4.3146,-4.3146,-4.3146,-4.31331,-4.30972,-4.31116,-4.31116,-4.31116,-4.30987,-4.3063,-4.30698,-4.30698,-4.30698,-4.3057,-4.30216,-4.30207,-4.30207,-4.30207,-4.30081,-4.29729
190,385.179,-4.25881,-4.25881,-4.25881,-4.25753,-4.25397,-4.25616,-4.25616,-4.25616,-4.25488,-4.25134,-4.25285,-4.25285,-4.25285,-4.25157,-4.24806,-4.24884,-4.24884,-4.24884,-4.24758,-4.24408,-4.24412,-4.24412,-4.24412,-4.24288,-4.23941
191,396.513,-4.20096,-4.20096,-4.20096,-4.1997,-4.19619,-4.19842,-4.19842,-4.19842,-4.19715,-4.19366,-4.19524,-4.19524,-4.19524,-4.19398,-4.19051,-4.19139,-4.19139,-4.19139,-4.19015,-4.18669,-4.18686,-4.18686,-4.18686,-4.18563,-4.18221
192,408.179,-4.14382,-4.14382,-4.14382,-4.14257,-4.1391,-4.14137,-4.14137,-4.14137,-4.14012,-4.13668,-4.13833,-4.13833,-4.13833,-4.13708,-4.13365,-4.13463,-4.13463,-4.13463,-4.1334,-4.12999,-4.13029,-4.13029,-4.13029,-4.12907,-4.12569
193,420.188,-4.08736,-4.08736,-4.08736,-4.08613,-4.08275,-4.08502,-4.08502,-4.08502,-4.08379,-4.08042,-4.0821,-4.0821,-4.0821,-4.08087,-4.07752,-4.07855,-4.07855,-4.07855,-4.07734,-4.07401,-4.07438,-4.07438,-4.07438,-4.07318,-4.06988
194,432.548,-4.03161,-4.03161,-4.03161,-4.03039,-4.02709,-4.02936,-4.02936,-4.02936,-4.02814,-4.02485,-4.02655,-4.02655,-4.02655,-4.02534,-4.02207,-4.02315,-4.02315,-4.02315,-4.02195,-4.0187,-4.01915,-4.01915,-4.01915,-4.01796,-4.01474
195,445.271,-3.97654,-3.97654,-3.97654,-3.97535,-3.97218,-3.97438,-3.97438,-3.97438,-3.9732,-3.97003,-3.97168,-3.97168,-3.97168,-3.97051,-3.96736,-3.96842,-3.96842,-3.96842,-3.96725,-3.96412,-3.96458,-3.96458,-3.96458,-3.96343,-3.96031
196,458.366,-3.92215,-3.92215,-3.92215,-3.92104,-3.9187,-3.92008,-3.92008,-3.92008,-3.91896,-3.91667,-3.9175,-3.9175,-3.9175,-3.91638,-3.91414,-3.91436,-3.91436,-3.91436,-3.91326,-3.91103,-3.91068,-3.91068,-3.91068,-3.90959,-3.90738
197,471.845,-3.86848,-3.86848,-3.86848,-3.86781,-3.86653,-3.86648,-3.86648,-3.86648,-3.86582,-3.86457,-3.86401,-3.86401,-3.86401,-3.86334,-3.86214,-3.861,-3.861,-3.861,-3.86033,-3.8592,-3.85747,-3.85747,-3.85747,-3.8568,-3.85575
198,485.719,-3.81817,-3.81817,-3.81817,-3.81774,-3.81645,-3.81635,-3.81635,-3.81635,-3.81591,-3.81461,-3.8141,-3.8141,-3.8141,-3.81363,-3.81233,-3.81139,-3.81139,-3.81139,-3.81088,-3.80958,-3.80823,-3.80823,-3.80823,-3.80768,-3.80636
199,500,-3.772,-3.772,-3.772,-3.7702,-3.76756,-3.77022,-3.77022,-3.77022,-3.76841,-3.76577,-3.76802,-3.76802,-3.76802,-3.76619,-3.76354,-3.76537,-3.76537,-3.76537,-3.76353,-3.76086,-3.76227,-3.76227,-3.76227,-3.76043,-3.7577
