gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
33,2.5502,1.57206,1.57206,1.57206,1.57206,1.57206,1.5293,1.5293,1.5293,1.5293,1.5293,1.48286,1.48286,1.48286,1.48286,1.48286,1.43698,1.43698,1.43698,1.43698,1.43698,1.39593,1.39593,1.39593,1.39593,1.39593
34,2.67182,1.65266,1.65266,1.65266,1.65266,1.65266,1.60716,1.60716,1.60716,1.60716,1.60716,1.55753,1.55753,1.55753,1.55753,1.55753,1.50776,1.50776,1.50776,1.50776,1.50776,1.46312,1.46312,1.46312,1.46312,1.46312
35,2.797,1.73661,1.73661,1.73661,1.73661,1.73661,1.68884,1.68884,1.68884,1.68884,1.68884,1.63587,1.63587,1.63587,1.63587,1.63587,1.58246,1.58246,1.58246,1.58246,1.58246,1.53365,1.53365,1.53365,1.53365,1.53365
36,2.92586,1.82383,1.82383,1.82383,1.82383,1.82383,1.77389,1.77389,1.77389,1.77389,1.77389,1.71802,1.71802,1.71802,1.71802,1.71802,1.661,1.661,1.661,1.661,1.661,1.60789,1.60789,1.60789,1.60789,1.60789
37,3.05848,1.91465,1.91465,1.91465,1.91465,1.91465,1.86234,1.86234,1.86234,1.86234,1.86234,1.80383,1.80383,1.80383,1.80383,1.80383,1.74359,1.74359,1.74359,1.74359,1.74359,1.6864,1.6864,1.6864,1.6864,1.6864
38,3.195,2.00961,2.00961,2.00961,2.00961,2.00961,1.95524,1.95524,1.95524,1.95524,1.95524,1.89299,1.89299,1.89299,1.89299,1.89299,1.82985,1.82985,1.82985,1.82985,1.82985,1.76941,1.76941,1.76941,1.76941,1.76941
39,3.33551,2.10866,2.10866,2.10866,2.10866,2.10866,2.05255,2.05255,2.05255,2.05255,2.05255,1.98758,1.98758,1.98758,1.98758,1.98758,1.92012,1.92012,1.92012,1.92012,1.92012,1.85597,1.85597,1.85597,1.85597,1.85597
40,3.48015,2.21142,2.21142,2.21142,2.21142,2.21142,2.15354,2.15354,2.15354,2.15354,2.15354,2.08694,2.08694,2.08694,2.08694,2.08694,2.01584,2.01584,2.01584,2.01584,2.01584,1.94743,1.94743,1.94743,1.94743,1.94743
41,3.62902,2.31844,2.31844,2.31844,2.31844,2.31844,2.25851,2.25851,2.25851,2.25851,2.25851,2.18934,2.18934,2.18934,2.18934,2.18934,2.11638,2.11638,2.11638,2.11638,2.11638,2.04429,2.04429,2.04429,2.04429,2.04429
42,3.78225,2.43031,2.43031,2.43031,2.43031,2.43031,2.36852,2.36852,2.36852,2.36852,2.36852,2.29663,2.29663,2.29663,2.29663,2.29663,2.22035,2.22035,2.22035,2.22035,2.22035,2.14572,2.14572,2.14572,2.14572,2.14572
43,3.93998,2.54658,2.54658,2.54658,2.54658,2.54658,2.48358,2.48358,2.48358,2.48358,2.48358,2.40969,2.40969,2.40969,2.40969,2.40969,2.33008,2.33008,2.33008,2.33008,2.33008,2.2519,2.2519,2.2519,2.2519,2.2519
44,4.10232,2.66666,2.66666,2.66666,2.66666,2.66666,2.6028,2.6028,2.6028,2.6028,2.6028,2.52737,2.52737,2.52737,2.52737,2.52737,2.44558,2.44558,2.44558,2.44558,2.44558,2.3639,2.3639,2.3639,2.3639,2.3639
45,4.26943,2.79122,2.79122,2.79122,2.79122,2.79122,2.72624,2.72624,2.72624,2.72624,2.72624,2.64948,2.64948,2.64948,2.64948,2.64948,2.56551,2.56551,2.56551,2.56551,2.56551,2.48126,2.48126,2.48126,2.48126,2.48126
46,4.44143,2.92136,2.92136,2.92136,2.92136,2.92136,2.85502,2.85502,2.85502,2.85502,2.85502,2.77655,2.77655,2.77655,2.77655,2.77655,2.69102,2.69102,2.69102,2.69102,2.69102,2.60409,2.60409,2.60409,2.60409,2.60409
47,4.61847,3.05699,3.05699,3.05699,3.05699,3.05699,2.98952,2.98952,2.98952,2.98952,2.98952,2.90968,2.90968,2.90968,2.90968,2.90968,2.82199,2.82199,2.82199,2.82199,2.82199,2.733,2.733,2.733,2.733,2.733
48,4.8007,3.19719,3.19719,3.19719,3.19719,3.19719,3.12888,3.12888,3.12888,3.12888,3.12888,3.04816,3.04816,3.04816,3.04816,3.04816,2.959,2.959,2.959,2.959,2.959,2.86769,2.86769,2.86769,2.86769,2.86769
49,4.98827,3.34221,3.34221,3.34221,3.34221,3.34221,3.2733,3.2733,3.2733,3.2733,3.2733,3.19102,3.19102,3.19102,3.19102,3.19102,3.10132,3.10132,3.10132,3.10132,3.10132,3.00871,3.00871,3.00871,3.00871,3.00871
50,5.18134,3.49265,3.49265,3.49265,3.49265,3.49265,3.42341,3.42341,3.42341,3.42341,3.42341,3.3404,3.3404,3.3404,3.3404,3.3404,3.24875,3.24875,3.24875,3.24875,3.24875,3.15497,3.15497,3.15497,3.15497,3.15497
51,5.38006,3.64867,3.64867,3.64867,3.64867,3.64867,3.57893,3.57893,3.57893,3.57893,3.57893,3.49602,3.49602,3.49602,3.49602,3.49602,3.40338,3.40338,3.40338,3.40338,3.40338,3.30728,3.30728,3.30728,3.30728,3.30728
52,5.58461,3.81056,3.81056,3.81056,3.81056,3.81056,3.74014,3.74014,3.74014,3.74014,3.74014,3.65656,3.65656,3.65656,3.65656,3.65656,3.56395,3.56395,3.56395,3.56395,3.56395,3.46764,3.46764,3.46764,3.46764,3.46764
53,5.79515,3.97848,3.97848,3.97848,3.97848,3.97848,3.90765,3.90765,3.90765,3.90765,3.90765,3.82313,3.82313,3.82313,3.82313,3.82313,3.7296,3.7296,3.7296,3.7296,3.7296,3.63295,3.63295,3.63295,3.63295,3.63295
54,6.01186,4.15227,4.15227,4.15227,4.15227,4.15227,4.0814,4.0814,4.0814,4.0814,4.0814,3.99655,3.99655,3.99655,3.99655,3.99655,3.90183,3.90183,3.90183,3.90183,3.90183,3.80413,3.80413,3.80413,3.80413,3.80413
55,6.23493,4.33197,4.33197,4.33197,4.33197,4.33197,4.26094,4.26094,4.26094,4.26094,4.26094,4.17634,4.17634,4.17634,4.17634,4.17634,4.08153,4.08153,4.08153,4.08153,4.08153,3.98273,3.98273,3.98273,3.98273,3.98273
56,6.46452,4.51787,4.51787,4.51787,4.51787,4.51787,4.44667,4.44667,4.44667,4.44667,4.44667,4.36193,4.36193,4.36193,4.36193,4.36193,4.26716,4.26716,4.26716,4.26716,4.26716,4.1685,4.1685,4.1685,4.1685,4.1685
57,6.70085,4.7103,4.7103,4.7103,4.7103,4.7103,4.63895,4.63895,4.63895,4.63895,4.63895,4.55409,4.55409,4.55409,4.55409,4.55409,4.45901,4.45901,4.45901,4.45901,4.45901,4.36036,4.36036,4.36036,4.36036,4.36036
58,6.94411,4.90957,4.90957,4.90957,4.90957,4.90957,4.8383,4.8383,4.8383,4.8383,4.8383,4.75338,4.75338,4.75338,4.75338,4.75338,4.65849,4.65849,4.65849,4.65849,4.65849,4.55954,4.55954,4.55954,4.55954,4.55954
59,7.19449,5.11558,5.11558,5.11558,5.11558,5.11558,5.04464,5.04464,5.04464,5.04464,5.04464,4.9598,4.9598,4.9598,4.9598,4.9598,4.86503,4.86503,4.86503,4.86503,4.86503,4.7663,4.7663,4.7663,4.7663,4.7663
60,7.45221,5.32844,5.32844,5.32844,5.32844,5.32844,5.25779,5.25779,5.25779,5.25779,5.25779,5.17332,5.17332,5.17332,5.17332,5.17332,5.07866,5.07866,5.07866,5.07866,5.07866,4.97974,4.97974,4.97974,4.97974,4.97974
61,7.71748,5.5486,5.5486,5.5486,5.5486,5.5486,5.47797,5.47797,5.47797,5.47797,5.47797,5.39389,5.39389,5.39389,5.39389,5.39389,5.29976,5.29976,5.29976,5.29976,5.29976,5.20106,5.20106,5.20106,5.20106,5.20106
62,7.99052,5.77621,5.77621,5.77621,5.77621,5.77621,5.70548,5.70548,5.70548,5.70548,5.70548,5.62134,5.62134,5.62134,5.62134,5.62134,5.52772,5.52772,5.52772,5.52772,5.52772,5.43014,5.43014,5.43014,5.43014,5.43014
63,8.27157,6.01135,6.01135,6.01135,6.01135,6.01135,5.94086,5.94086,5.94086,5.94086,5.94086,5.85682,5.85682,5.85682,5.85682,5.85682,5.76309,5.76309,5.76309,5.76309,5.76309,5.66601,5.66601,5.66601,5.66601,5.66601
64,8.56085,6.25446,6.25446,6.25446,6.25446,6.25446,6.18428,6.18428,6.18428,6.18428,6.18428,6.10069,6.10069,6.10069,6.10069,6.10069,6.00711,6.00711,6.00711,6.00711,6.00711,5.90985,5.90985,5.90985,5.90985,5.90985
65,8.85861,6.50571,6.50571,6.50571,6.50571,6.50571,6.43581,6.43581,6.43581,6.43581,6.43581,6.35263,6.35263,6.35263,6.35263,6.35263,6.25963,6.25963,6.25963,6.25963,6.25963,6.16284,6.16284,6.16284,6.16284,6.16284
66,9.16509,6.76518,6.76518,6.76518,6.76518,6.76518,6.69547,6.69547,6.69547,6.69547,6.69547,6.61266,6.61266,6.61266,6.61266,6.61266,6.52006,6.52006,6.52006,6.52006,6.52006,6.42376,6.42376,6.42376,6.42376,6.42376
67,9.48056,7.03295,7.03295,7.03295,7.03295,7.03295,6.9637,6.9637,6.9637,6.9637,6.9637,6.88125,6.88125,6.88125,6.88125,6.88125,6.78915,6.78915,6.78915,6.78915,6.78915,6.69304,6.69304,6.69304,6.69304,6.69304
68,9.80527,7.30932,7.30932,7.30932,7.30932,7.30932,7.24081,7.24081,7.24081,7.24081,7.24081,7.15896,7.15896,7.15896,7.15896,7.15896,7.06739,7.06739,7.06739,7.06739,7.06739,6.97215,6.97215,6.97215,6.97215,6.97215
