gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
108,34.6128,-0.0283477,-0.0283205,-0.0282639,-0.0281664,-0.0280413,-0.0274572,-0.0274335,-0.0273783,-0.027288,-0.0271695,-0.0264553,-0.0264346,-0.0263819,-0.0263067,-0.0262022,-0.0253819,-0.0253673,-0.0253262,-0.0252528,-0.0251494,-0.0242659,-0.0242561,-0.0242188,-0.0241517,-0.024062
109,35.674,-0.0267887,-0.026762,-0.0267078,-0.0266155,-0.026497,-0.0259637,-0.0259414,-0.0258893,-0.0258031,-0.0256906,-0.0250355,-0.0250156,-0.0249627,-0.0248917,-0.0247934,-0.0240394,-0.0240254,-0.0239855,-0.0239169,-0.0238194,-0.0230049,-0.0229942,-0.0229601,-0.0228954,-0.0228078
110,36.7663,-0.0253074,-0.0252816,-0.0252292,-0.0251416,-0.0250292,-0.0245442,-0.0245216,-0.024473,-0.0243904,-0.0242839,-0.0236847,-0.0236652,-0.0236162,-0.0235461,-0.0234528,-0.022759,-0.0227461,-0.0227074,-0.0226436,-0.0225517,-0.0218008,-0.0217904,-0.0217585,-0.0216965,-0.0216125
111,37.8906,-0.0238998,-0.0238752,-0.0238249,-0.0237418,-0.0236346,-0.023194,-0.0231719,-0.0231262,-0.0230469,-0.0229461,-0.0223991,-0.0223809,-0.0223341,-0.0222649,-0.0221761,-0.0215405,-0.0215276,-0.0214899,-0.0214295,-0.0213437,-0.0206523,-0.0206426,-0.0206122,-0.0205533,-0.020473
112,39.0479,-0.0225631,-0.0225395,-0.0224914,-0.0224128,-0.0223111,-0.0219106,-0.021889,-0.0218466,-0.0217709,-0.0216752,-0.0211759,-0.0211588,-0.0211148,-0.0210467,-0.0209618,-0.0203801,-0.0203667,-0.0203302,-0.020273,-0.020192,-0.0195576,-0.019548,-0.0195188,-0.0194628,-0.0193859
113,40.239,-0.0212939,-0.0212712,-0.0212256,-0.0211513,-0.0210549,-0.0206915,-0.0206706,-0.0206307,-0.0205591,-0.0204681,-0.0200125,-0.019996,-0.019955,-0.0198894,-0.0198074,-0.0192748,-0.0192612,-0.019227,-0.0191729,-0.0190954,-0.0185137,-0.0185046,-0.0184763,-0.0184229,-0.0183493
114,41.4651,-0.0200895,-0.0200677,-0.0200244,-0.0199547,-0.0198631,-0.0195335,-0.0195143,-0.0194758,-0.019408,-0.0193215,-0.0189063,-0.0188904,-0.0188522,-0.01879,-0.01871,-0.0182239,-0.01821,-0.018177,-0.018126,-0.0180525,-0.0175188,-0.01751,-0.017483,-0.0174321,-0.0173613
115,42.7271,-0.0189473,-0.0189261,-0.018885,-0.0188197,-0.0187331,-0.0184343,-0.0184164,-0.0183794,-0.0183153,-0.0182332,-0.0178555,-0.0178398,-0.0178041,-0.0177446,-0.0176671,-0.0172254,-0.0172119,-0.0171781,-0.0171299,-0.0170603,-0.0165719,-0.0165627,-0.0165366,-0.0164882,-0.0164214
116,44.0261,-0.0178641,-0.0178435,-0.0178046,-0.0177434,-0.0176619,-0.0173915,-0.0173744,-0.0173388,-0.0172782,-0.0172008,-0.0168571,-0.0168423,-0.0168084,-0.0167515,-0.0166775,-0.0162752,-0.016262,-0.0162281,-0.0161821,-0.0161168,-0.01567,-0.0156609,-0.0156352,-0.0155898,-0.0155268
117,45.3631,-0.0168374,-0.0168174,-0.0167805,-0.0167232,-0.0166464,-0.0164022,-0.0163858,-0.0163515,-0.0162943,-0.0162212,-0.0159089,-0.0158948,-0.0158627,-0.0158084,-0.0157388,-0.0153718,-0.0153589,-0.0153267,-0.0152816,-0.0152197,-0.014811,-0.0148025,-0.0147773,-0.0147351,-0.0146756
118,46.7394,-0.0158644,-0.0158452,-0.0158101,-0.0157564,-0.0156841,-0.0154638,-0.0154481,-0.0154152,-0.0153612,-0.0152919,-0.0150087,-0.0149948,-0.0149649,-0.014913,-0.0148473,-0.0145131,-0.014501,-0.0144707,-0.0144262,-0.0143667,-0.0139941,-0.0139857,-0.0139611,-0.0139218,-0.0138651
119,48.1559,-0.0149426,-0.0149244,-0.0148908,-0.0148405,-0.0147723,-0.0145741,-0.0145588,-0.0145275,-0.0144765,-0.0144109,-0.0141544,-0.0141407,-0.0141128,-0.0140637,-0.0140014,-0.0136972,-0.0136863,-0.0136575,-0.0136137,-0.0135571,-0.0132171,-0.0132083,-0.0131848,-0.0131478,-0.0130941
120,49.614,-0.0140698,-0.0140524,-0.0140204,-0.0139733,-0.0139087,-0.0137308,-0.0137159,-0.0136862,-0.0136381,-0.0135761,-0.013344,-0.0133307,-0.0133046,-0.0132582,-0.0131991,-0.0129225,-0.012912,-0.0128852,-0.012843,-0.0127888,-0.0124784,-0.0124693,-0.0124472,-0.0124125,-0.0123616
121,51.1148,-0.0132431,-0.0132269,-0.0131964,-0.0131523,-0.0130912,-0.0129314,-0.0129173,-0.0128894,-0.012844,-0.0127856,-0.0125755,-0.0125633,-0.0125381,-0.0124944,-0.0124382,-0.0121871,-0.0121769,-0.012152,-0.0121117,-0.0120597,-0.0117769,-0.0117675,-0.0117467,-0.0117138,-0.0116658
122,52.6596,-0.0124611,-0.0124456,-0.0124169,-0.0123753,-0.0123176,-0.0121747,-0.012161,-0.0121346,-0.0120921,-0.0120369,-0.011847,-0.0118358,-0.0118115,-0.0117703,-0.0117171,-0.0114894,-0.0114794,-0.0114562,-0.0114178,-0.0113675,-0.0111116,-0.0111028,-0.0110813,-0.0110503,-0.0110048
123,54.2497,-0.0117213,-0.0117066,-0.0116796,-0.0116404,-0.0115859,-0.0114583,-0.011445,-0.01142,-0.0113804,-0.0113284,-0.0111572,-0.0111464,-0.0111231,-0.0110843,-0.0110341,-0.0108278,-0.0108183,-0.0107963,-0.0107597,-0.0107115,-0.0104797,-0.0104711,-0.0104496,-0.0104203,-0.0103772
124,55.8863,-0.0110218,-0.0110078,-0.0109823,-0.0109456,-0.010894,-0.0107804,-0.0107675,-0.0107438,-0.0107068,-0.0106578,-0.0105037,-0.0104935,-0.0104711,-0.0104345,-0.0103873,-0.0102004,-0.0101916,-0.0101707,-0.0101358,-0.0100905,-0.00987987,-0.00987156,-0.00985088,-0.00982239,-0.00978132
125,57.5709,-0.0103606,-0.0103473,-0.010323,-0.0102888,-0.01024,-0.0101391,-0.0101267,-0.0101042,-0.0100696,-0.0100233,-0.00988503,-0.00987511,-0.00985377,-0.00981935,-0.0097749,-0.00960593,-0.00959729,-0.00957768,-0.00954452,-0.00950212,-0.0093108,-0.00930296,-0.00928364,-0.0092554,-0.00921607
126,59.3049,-0.00973593,-0.0097231,-0.00970015,-0.00966807,-0.00962211,-0.00953258,-0.00952081,-0.00949939,-0.00946708,-0.00942333,-0.00929944,-0.00928974,-0.00926952,-0.00923713,-0.00919534,-0.00904268,-0.00903418,-0.00901595,-0.00898466,-0.00894474,-0.00877113,-0.00876404,-0.00874548,-0.00871773,-0.00868048
127,61.0897,-0.00914618,-0.00913352,-0.00911185,-0.00908175,-0.00903862,-0.00895927,-0.00894807,-0.00892769,-0.00889752,-0.00885621,-0.0087454,-0.00873594,-0.00871679,-0.00868633,-0.00864706,-0.0085093,-0.00850104,-0.00848399,-0.00845456,-0.00841674,-0.00825958,-0.00825296,-0.00823554,-0.00820874,-0.00817335
128,62.9268,-0.00858925,-0.00857702,-0.00855645,-0.00852812,-0.00848769,-0.00841747,-0.00840688,-0.0083875,-0.0083593,-0.00832036,-0.00822122,-0.0082122,-0.00819413,-0.00816546,-0.00812858,-0.00800441,-0.0079968,-0.00798029,-0.00795258,-0.00791699,-0.00777488,-0.0077685,-0.00775236,-0.00772683,-0.00769292
129,64.8177,-0.00806354,-0.00805193,-0.00803223,-0.00800557,-0.00796769,-0.00790564,-0.00789568,-0.0078773,-0.00785093,-0.00781424,-0.00772585,-0.0077171,-0.00770027,-0.00767319,-0.00763846,-0.00752668,-0.00751976,-0.00750405,-0.00747768,-0.00744416,-0.00731595,-0.00730967,-0.00729474,-0.00727043,-0.00723796
130,66.7641,-0.00756747,-0.00755647,-0.00753762,-0.00751254,-0.00747698,-0.00742247,-0.00741301,-0.00739577,-0.00737095,-0.00733639,-0.00725774,-0.00724926,-0.00723345,-0.0072081,-0.00717536,-0.00707516,-0.00706857,-0.00705351,-0.0070287,-0.00699702,-0.00688156,-0.00687562,-0.00686151,-0.00683838,-0.00680736
131,68.7675,-0.00709956,-0.00708915,-0.00707112,-0.00704751,-0.00701406,-0.00696645,-0.00695747,-0.0069413,-0.00691795,-0.00688543,-0.0068156,-0.00680737,-0.00679248,-0.00676882,-0.00673797,-0.0066483,-0.00664197,-0.00662758,-0.00660428,-0.00657456,-0.00647039,-0.00646494,-0.00645155,-0.00642958,-0.00640041
132,70.8295,-0.00665839,-0.00664853,-0.00663131,-0.00660907,-0.00657764,-0.00653623,-0.00652771,-0.00651255,-0.00649058,-0.00645999,-0.00639815,-0.00639028,-0.00637614,-0.00635406,-0.00632502,-0.00624492,-0.00623871,-0.0062251,-0.00620321,-0.00617535,-0.00608171,-0.00607648,-0.0060638,-0.00604295,-0.00601572
133,72.9521,-0.00624258,-0.00623327,-0.00621686,-0.00619588,-0.00616635,-0.00613052,-0.00612241,-0.00610816,-0.00608755,-0.00605889,-0.00600415,-0.00599668,-0.00598323,-0.00596263,-0.00593529,-0.00586387,-0.00585781,-0.00584494,-0.00582438,-0.00579827,-0.00571412,-0.00570896,-0.0056972,-0.0056776,-0.00565203
