gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[0 3],dist[0 4],dist[1 0],dist[1 1],dist[1 2],dist[1 3],dist[1 4],dist[2 0],dist[2 1],dist[2 2],dist[2 3],dist[2 4],dist[3 0],dist[3 1],dist[3 2],dist[3 3],dist[3 4],dist[4 0],dist[4 1],dist[4 2],dist[4 3],dist[4 4]
34,2.67182,1.07309e-062,3.88278e-062,6.15072e-062,3.88278e-062,1.07309e-062,1.38107e-062,4.99718e-062,7.91603e-062,4.99718e-062,1.38107e-062,5.27684e-063,1.90933e-062,3.02457e-062,1.90933e-062,5.27684e-063,4.9811e-064,1.80233e-063,2.85506e-063,1.80233e-063,4.9811e-064,1.11933e-065,4.05011e-065,6.41578e-065,4.05011e-065,1.11933e-065
35,2.797,2.28431e-058,8.26537e-058,1.30932e-057,8.26537e-058,2.28431e-058,2.94018e-058,1.06385e-057,1.68525e-057,1.06385e-057,2.94018e-058,1.12359e-058,4.06553e-058,6.44021e-058,4.06553e-058,1.12359e-058,1.06108e-059,3.83934e-059,6.08189e-059,3.83934e-059,1.06108e-059,2.38695e-061,8.63675e-061,1.36815e-060,8.63675e-061,2.38695e-061
36,2.92586,1.05298e-056,3.81001e-056,6.03544e-056,3.81001e-056,1.05298e-056,1.35533e-056,4.90404e-056,7.76848e-056,4.90404e-056,1.35533e-056,5.17965e-057,1.87417e-056,2.96886e-056,1.87417e-056,5.17965e-057,4.89194e-058,1.77006e-057,2.80396e-057,1.77006e-057,4.89194e-058,1.10073e-059,3.98279e-059,6.30914e-059,3.98279e-059,1.10073e-059
37,3.05848,7.83412e-056,2.83464e-055,4.49035e-055,2.83464e-055,7.83412e-056,1.00834e-055,3.64851e-055,5.77961e-055,3.64851e-055,1.00834e-055,3.85339e-056,1.39428e-055,2.20868e-055,1.39428e-055,3.85339e-056,3.63897e-057,1.3167e-056,2.08578e-056,1.3167e-056,3.63897e-057,8.18594e-059,2.96194e-058,4.69201e-058,2.96194e-058,8.18594e-059
38,3.195,5.8611e-053,2.12074e-052,3.35946e-052,2.12074e-052,5.8611e-053,7.83975e-053,2.83668e-052,4.49358e-052,2.83668e-052,7.83975e-053,3.23737e-053,1.17139e-052,1.85559e-052,1.17139e-052,3.23737e-053,3.59444e-054,1.30058e-053,2.06026e-053,1.30058e-053,3.59444e-054,1.10587e-055,4.00141e-055,6.33864e-055,4.00141e-055,1.10587e-055
39,3.33551,5.31407e-052,1.92281e-051,3.04592e-051,1.92281e-051,5.31407e-052,7.71889e-052,2.79295e-051,4.42431e-051,2.79295e-051,7.71889e-052,3.66707e-052,1.32687e-051,2.10189e-051,1.32687e-051,3.66707e-052,5.05902e-053,1.83052e-052,2.89972e-052,1.83052e-052,5.05902e-053,2.021e-054,7.31266e-054,1.1584e-053,7.31266e-054,2.021e-054
40,3.48015,5.4132e-049,1.95867e-048,3.10273e-048,1.95867e-048,5.4132e-049,6.96832e-049,2.52137e-048,3.99409e-048,2.52137e-048,6.96832e-049,2.66367e-049,9.63805e-049,1.52676e-048,9.63805e-049,2.66367e-049,2.51707e-050,9.1076e-050,1.44273e-049,9.1076e-050,2.51707e-050,5.67114e-052,2.052e-051,3.25058e-051,2.052e-051,5.67114e-052
41,3.62902,1.08222e-048,3.91583e-048,6.20307e-048,3.91583e-048,1.08222e-048,1.39445e-048,5.04559e-048,7.99272e-048,5.04559e-048,1.39445e-048,5.34396e-049,1.93362e-048,3.06305e-048,1.93362e-048,5.34396e-049,5.09356e-050,1.84302e-049,2.91952e-049,1.84302e-049,5.09356e-050,1.19002e-051,4.30587e-051,6.82093e-051,4.30587e-051,1.19002e-051
42,3.78225,1.06791e-047,3.86405e-047,6.12105e-047,3.86405e-047,1.06791e-047,1.50642e-047,5.45074e-047,8.63451e-047,5.45074e-047,1.50642e-047,6.84614e-048,2.47716e-047,3.92406e-047,2.47716e-047,6.84614e-048,8.9534e-049,3.23963e-048,5.1319e-048,3.23963e-048,8.9534e-049,3.47789e-050,1.25841e-049,1.99345e-049,1.25841e-049,3.47789e-050
43,3.93998,2.03156e-045,7.35085e-045,1.16445e-044,7.35085e-045,2.03156e-045,2.66925e-045,9.65823e-045,1.52996e-044,9.65823e-045,2.66925e-045,1.06492e-045,3.85324e-045,6.10391e-045,3.85324e-045,1.06492e-045,1.10786e-046,4.00858e-046,6.35e-046,4.00858e-046,1.10786e-046,3.08964e-048,1.11793e-047,1.77092e-047,1.11793e-047,3.08964e-048
44,4.10232,6.79183e-045,2.45751e-044,3.89294e-044,2.45751e-044,6.79183e-045,1.11506e-044,4.03467e-044,6.39131e-044,4.03467e-044,1.11506e-044,6.23243e-045,2.2551e-044,3.5723e-044,2.2551e-044,6.23243e-045,1.03003e-045,3.72699e-045,5.90393e-045,3.72699e-045,1.03003e-045,4.8003e-047,1.73691e-046,2.75143e-046,1.73691e-046,4.8003e-047
45,4.26943,1.507e-044,5.45282e-044,8.63781e-044,5.45282e-044,1.507e-044,2.69009e-044,9.73362e-044,1.5419e-043,9.73362e-044,2.69009e-044,1.64571e-044,5.95472e-044,9.43287e-044,5.95472e-044,1.64571e-044,2.95519e-045,1.06928e-044,1.69385e-044,1.06928e-044,2.95519e-045,1.47663e-046,5.34292e-046,8.46373e-046,5.34292e-046,1.47663e-046
