gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
50,5.18134,2.93343,2.93343,2.93343,2.93343,2.93343,2.87388,2.87388,2.87388,2.87388,2.87388,2.80523,2.80523,2.80523,2.80523,2.80523,2.73375,2.73375,2.73375,2.73375,2.73375,2.66347,2.66347,2.66347,2.66347,2.66347
51,5.38006,3.06115,3.06115,3.06115,3.06115,3.06115,3.00041,3.00041,3.00041,3.00041,3.00041,2.93082,2.93082,2.93082,2.93082,2.93082,2.85606,2.85606,2.85606,2.85606,2.85606,2.78237,2.78237,2.78237,2.78237,2.78237
52,5.58461,3.19278,3.19278,3.19278,3.19278,3.19278,3.13056,3.13056,3.13056,3.13056,3.13056,3.0596,3.0596,3.0596,3.0596,3.0596,2.98368,2.98368,2.98368,2.98368,2.98368,2.90767,2.90767,2.90767,2.90767,2.90767
53,5.79515,3.32975,3.32975,3.32975,3.32975,3.32975,3.26574,3.26574,3.26574,3.26574,3.26574,3.19179,3.19179,3.19179,3.19179,3.19179,3.11458,3.11458,3.11458,3.11458,3.11458,3.03765,3.03765,3.03765,3.03765,3.03765
54,6.01186,3.47239,3.47239,3.47239,3.47239,3.47239,3.40709,3.40709,3.40709,3.40709,3.40709,3.3317,3.3317,3.3317,3.3317,3.3317,3.25098,3.25098,3.25098,3.25098,3.25098,3.17078,3.17078,3.17078,3.17078,3.17078
55,6.23493,3.61985,3.61985,3.61985,3.61985,3.61985,3.55349,3.55349,3.55349,3.55349,3.55349,3.4777,3.4777,3.4777,3.4777,3.4777,3.39517,3.39517,3.39517,3.39517,3.39517,3.31189,3.31189,3.31189,3.31189,3.31189
56,6.46452,3.773,3.773,3.773,3.773,3.773,3.70487,3.70487,3.70487,3.70487,3.70487,3.62674,3.62674,3.62674,3.62674,3.62674,3.54379,3.54379,3.54379,3.54379,3.54379,3.46026,3.46026,3.46026,3.46026,3.46026
57,6.70085,3.93134,3.93134,3.93134,3.93134,3.93134,3.86225,3.86225,3.86225,3.86225,3.86225,3.78174,3.78174,3.78174,3.78174,3.78174,3.69643,3.69643,3.69643,3.69643,3.69643,3.61082,3.61082,3.61082,3.61082,3.61082
58,6.94411,4.09456,4.09456,4.09456,4.09456,4.09456,4.02528,4.02528,4.02528,4.02528,4.02528,3.94455,3.94455,3.94455,3.94455,3.94455,3.85687,3.85687,3.85687,3.85687,3.85687,3.76814,3.76814,3.76814,3.76814,3.76814
59,7.19449,4.26434,4.26434,4.26434,4.26434,4.26434,4.19381,4.19381,4.19381,4.19381,4.19381,4.11245,4.11245,4.11245,4.11245,4.11245,4.02419,4.02419,4.02419,4.02419,4.02419,3.93503,3.93503,3.93503,3.93503,3.93503
60,7.45221,4.44098,4.44098,4.44098,4.44098,4.44098,4.36862,4.36862,4.36862,4.36862,4.36862,4.28538,4.28538,4.28538,4.28538,4.28538,4.19584,4.19584,4.19584,4.19584,4.19584,4.10576,4.10576,4.10576,4.10576,4.10576
61,7.71748,4.62373,4.62373,4.62373,4.62373,4.62373,4.55021,4.55021,4.55021,4.55021,4.55021,4.46527,4.46527,4.46527,4.46527,4.46527,4.37398,4.37398,4.37398,4.37398,4.37398,4.28119,4.28119,4.28119,4.28119,4.28119
