gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
29,0.634559,0.491729,0.491729,0.491729,0.491729,0.491729,0.491729,0.491729,0.496176,0.496176,0.496176,0.496176,0.496176,0.496176,0.496176,0.500622,0.500622,0.500622,0.500622,0.500622,0.500622,0.500622,0.505069,0.505069,0.505069,0.505069,0.505069,0.505069,0.505069,0.509516,0.509516,0.509516,0.509516,0.509516,0.509516,0.509516,0.513971,0.513971,0.513971,0.513971,0.513971,0.513971,0.513971,0.518427,0.518427,0.518427,0.518427,0.518427,0.518427,0.518427
30,0.660447,0.511005,0.511005,0.511005,0.511005,0.511005,0.511005,0.511005,0.51673,0.51673,0.51673,0.51673,0.51673,0.51673,0.51673,0.522455,0.522455,0.522455,0.522455,0.522455,0.522455,0.522455,0.52818,0.52818,0.52818,0.52818,0.52818,0.52818,0.52818,0.533905,0.533905,0.533905,0.533905,0.533905,0.533905,0.533905,0.539635,0.539635,0.539635,0.539635,0.539635,0.539635,0.539635,0.545366,0.545366,0.545366,0.545366,0.545366,0.545366,0.545366
31,0.686635,0.533707,0.533707,0.533707,0.533707,0.533707,0.533707,0.533707,0.539664,0.539664,0.539664,0.539664,0.539664,0.539664,0.539664,0.545622,0.545622,0.545622,0.545622,0.545622,0.545622,0.545622,0.551579,0.551579,0.551579,0.551579,0.551579,0.551579,0.551579,0.557537,0.557537,0.557537,0.557537,0.557537,0.557537,0.557537,0.563515,0.563515,0.563515,0.563515,0.563515,0.563515,0.563515,0.569498,0.569498,0.569498,0.569498,0.569498,0.569498,0.569498
32,0.713126,0.556693,0.556693,0.556693,0.556693,0.556693,0.556693,0.556693,0.562898,0.562898,0.562898,0.562898,0.562898,0.562898,0.562898,0.569112,0.569112,0.569112,0.569112,0.569112,0.569112,0.569112,0.575326,0.575326,0.575326,0.575326,0.575326,0.575326,0.575326,0.58154,0.58154,0.58154,0.58154,0.58154,0.58154,0.58154,0.58777,0.58777,0.58777,0.58777,0.58777,0.58777,0.58777,0.594009,0.594009,0.594009,0.594009,0.594009,0.594009,0.594009
33,0.739924,0.580036,0.580036,0.580036,0.580036,0.580036,0.580036,0.580036,0.586495,0.586495,0.586495,0.586495,0.586495,0.586495,0.586495,0.592968,0.592968,0.592968,0.592968,0.592968,0.592968,0.592968,0.599442,0.599442,0.599442,0.599442,0.599442,0.599442,0.599442,0.605915,0.605915,0.605915,0.605915,0.605915,0.605915,0.605915,0.612391,0.612391,0.612391,0.612391,0.612391,0.612391,0.612391,0.618869,0.618869,0.618869,0.618869,0.618869,0.618869,0.618869
34,0.767033,0.603739,0.603739,0.603739,0.603739,0.603739,0.603739,0.603739,0.610451,0.610451,0.610451,0.610451,0.610451,0.610451,0.610451,0.617166,0.617166,0.617166,0.617166,0.617166,0.617166,0.617166,0.623882,0.623882,0.623882,0.623882,0.623882,0.623882,0.623882,0.630597,0.630597,0.630597,0.630597,0.630597,0.630597,0.630597,0.637315,0.637315,0.637315,0.637315,0.637315,0.637315,0.637315,0.644036,0.644036,0.644036,0.644036,0.644036,0.644036,0.644036
35,0.794456,0.627745,0.627745,0.627745,0.627745,0.627745,0.627745,0.627745,0.634701,0.634701,0.634701,0.634701,0.634701,0.634701,0.634701,0.641663,0.641663,0.641663,0.641663,0.641663,0.641663,0.641663,0.648624,0.648624,0.648624,0.648624,0.648624,0.648624,0.648624,0.655585,0.655585,0.655585,0.655585,0.655585,0.655585,0.655585,0.662548,0.662548,0.662548,0.662548,0.662548,0.662548,0.662548,0.669516,0.669516,0.669516,0.669516,0.669516,0.669516,0.669516
36,0.822196,0.652048,0.652048,0.652048,0.652048,0.652048,0.652048,0.652048,0.659253,0.659253,0.659253,0.659253,0.659253,0.659253,0.659253,0.666463,0.666463,0.666463,0.666463,0.666463,0.666463,0.666463,0.673674,0.673674,0.673674,0.673674,0.673674,0.673674,0.673674,0.680885,0.680885,0.680885,0.680885,0.680885,0.680885,0.680885,0.6881,0.6881,0.6881,0.6881,0.6881,0.6881,0.6881,0.695333,0.695333,0.695333,0.695333,0.695333,0.695333,0.695333
37,0.850258,0.676653,0.676653,0.676653,0.676653,0.676653,0.676653,0.676653,0.68411,0.68411,0.68411,0.68411,0.68411,0.68411,0.68411,0.691583,0.691583,0.691583,0.691583,0.691583,0.691583,0.691583,0.699063,0.699063,0.699063,0.699063,0.699063,0.699063,0.699063,0.706543,0.706543,0.706543,0.706543,0.706543,0.706543,0.706543,0.714025,0.714025,0.714025,0.714025,0.714025,0.714025,0.714025,0.721529,0.721529,0.721529,0.721529,0.721529,0.721529,0.721529
38,0.878644,0.701597,0.701597,0.701597,0.701597,0.701597,0.701597,0.701597,0.709326,0.709326,0.709326,0.709326,0.709326,0.709326,0.709326,0.717068,0.717068,0.717068,0.717068,0.717068,0.717068,0.717068,0.724822,0.724822,0.724822,0.724822,0.724822,0.724822,0.724822,0.732577,0.732577,0.732577,0.732577,0.732577,0.732577,0.732577,0.740331,0.740331,0.740331,0.740331,0.740331,0.740331,0.740331,0.748096,0.748096,0.748096,0.748096,0.748096,0.748096,0.748096
39,0.90736,0.726903,0.726903,0.726903,0.726903,0.726903,0.726903,0.726903,0.734911,0.734911,0.734911,0.734911,0.734911,0.734911,0.734911,0.742922,0.742922,0.742922,0.742922,0.742922,0.742922,0.742922,0.750941,0.750941,0.750941,0.750941,0.750941,0.750941,0.750941,0.758959,0.758959,0.758959,0.758959,0.758959,0.758959,0.758959,0.766978,0.766978,0.766978,0.766978,0.766978,0.766978,0.766978,0.775,0.775,0.775,0.775,0.775,0.775,0.775
40,0.936408,0.752557,0.752557,0.752557,0.752557,0.752557,0.752557,0.752557,0.760832,0.760832,0.760832,0.760832,0.760832,0.760832,0.760832,0.769109,0.769109,0.769109,0.769109,0.769109,0.769109,0.769109,0.777388,0.777388,0.777388,0.777388,0.777388,0.777388,0.777388,0.785667,0.785667,0.785667,0.785667,0.785667,0.785667,0.785667,0.793946,0.793946,0.793946,0.793946,0.793946,0.793946,0.793946,0.802231,0.802231,0.802231,0.802231,0.802231,0.802231,0.802231
41,0.965793,0.778532,0.778532,0.778532,0.778532,0.778532,0.778532,0.778532,0.787071,0.787071,0.787071,0.787071,0.787071,0.787071,0.787071,0.795611,0.795611,0.795611,0.795611,0.795611,0.795611,0.795611,0.804156,0.804156,0.804156,0.804156,0.804156,0.804156,0.804156,0.8127,0.8127,0.8127,0.8127,0.8127,0.8127,0.8127,0.821245,0.821245,0.821245,0.821245,0.821245,0.821245,0.821245,0.829803,0.829803,0.829803,0.829803,0.829803,0.829803,0.829803
42,0.995519,0.804822,0.804822,0.804822,0.804822,0.804822,0.804822,0.804822,0.81363,0.81363,0.81363,0.81363,0.81363,0.81363,0.81363,0.822438,0.822438,0.822438,0.822438,0.822438,0.822438,0.822438,0.831261,0.831261,0.831261,0.831261,0.831261,0.831261,0.831261,0.840084,0.840084,0.840084,0.840084,0.840084,0.840084,0.840084,0.848907,0.848907,0.848907,0.848907,0.848907,0.848907,0.848907,0.857748,0.857748,0.857748,0.857748,0.857748,0.857748,0.857748
43,1.02559,0.833348,0.833348,0.833348,0.833348,0.833348,0.833348,0.833348,0.841802,0.841802,0.841802,0.841802,0.841802,0.841802,0.841802,0.850255,0.850255,0.850255,0.850255,0.850255,0.850255,0.850255,0.858729,0.858729,0.858729,0.858729,0.858729,0.858729,0.858729,0.867202,0.867202,0.867202,0.867202,0.867202,0.867202,0.867202,0.875676,0.875676,0.875676,0.875676,0.875676,0.875676,0.875676,0.884159,0.884159,0.884159,0.884159,0.884159,0.884159,0.884159
44,1.05601,0.862778,0.862778,0.862778,0.862778,0.862778,0.862778,0.862778,0.870705,0.870705,0.870705,0.870705,0.870705,0.870705,0.870705,0.878633,0.878633,0.878633,0.878633,0.878633,0.878633,0.878633,0.886575,0.886575,0.886575,0.886575,0.886575,0.886575,0.886575,0.894516,0.894516,0.894516,0.894516,0.894516,0.894516,0.894516,0.902458,0.902458,0.902458,0.902458,0.902458,0.902458,0.902458,0.910402,0.910402,0.910402,0.910402,0.910402,0.910402,0.910402
45,1.08678,0.892436,0.892436,0.892436,0.892436,0.892436,0.892436,0.892436,0.899884,0.899884,0.899884,0.899884,0.899884,0.899884,0.899884,0.907332,0.907332,0.907332,0.907332,0.907332,0.907332,0.907332,0.914786,0.914786,0.914786,0.914786,0.914786,0.914786,0.914786,0.92224,0.92224,0.92224,0.92224,0.92224,0.92224,0.92224,0.929694,0.929694,0.929694,0.929694,0.929694,0.929694,0.929694,0.937149,0.937149,0.937149,0.937149,0.937149,0.937149,0.937149
46,1.1179,0.922431,0.922431,0.922431,0.922431,0.922431,0.922431,0.922431,0.929401,0.929401,0.929401,0.929401,0.929401,0.929401,0.929401,0.936372,0.936372,0.936372,0.936372,0.936372,0.936372,0.936372,0.943346,0.943346,0.943346,0.943346,0.943346,0.943346,0.943346,0.95032,0.95032,0.95032,0.95032,0.95032,0.95032,0.95032,0.957294,0.957294,0.957294,0.957294,0.957294,0.957294,0.957294,0.964268,0.964268,0.964268,0.964268,0.964268,0.964268,0.964268
47,1.14939,0.952887,0.952887,0.952887,0.952887,0.952887,0.952887,0.952887,0.959341,0.959341,0.959341,0.959341,0.959341,0.959341,0.959341,0.965794,0.965794,0.965794,0.965794,0.965794,0.965794,0.965794,0.972251,0.972251,0.972251,0.972251,0.972251,0.972251,0.972251,0.978708,0.978708,0.978708,0.978708,0.978708,0.978708,0.978708,0.985166,0.985166,0.985166,0.985166,0.985166,0.985166,0.985166,0.991623,0.991623,0.991623,0.991623,0.991623,0.991623,0.991623
48,1.18124,0.983492,0.983492,0.983492,0.983492,0.983492,0.983492,0.983492,0.989497,0.989497,0.989497,0.989497,0.989497,0.989497,0.989497,0.995501,0.995501,0.995501,0.995501,0.995501,0.995501,0.995501,1.00151,1.00151,1.00151,1.00151,1.00151,1.00151,1.00151,1.00753,1.00753,1.00753,1.00753,1.00753,1.00753,1.00753,1.01354,1.01354,1.01354,1.01354,1.01354,1.01354,1.01354,1.01955,1.01955,1.01955,1.01955,1.01955,1.01955,1.01955
49,1.21346,1.01441,1.01441,1.01441,1.01441,1.01441,1.01441,1.01441,1.01999,1.01999,1.01999,1.01999,1.01999,1.01999,1.01999,1.02557,1.02557,1.02557,1.02557,1.02557,1.02557,1.02557,1.03116,1.03116,1.03116,1.03116,1.03116,1.03116,1.03116,1.03675,1.03675,1.03675,1.03675,1.03675,1.03675,1.03675,1.04235,1.04235,1.04235,1.04235,1.04235,1.04235,1.04235,1.04794,1.04794,1.04794,1.04794,1.04794,1.04794,1.04794
50,1.24606,1.0358,1.0358,1.0358,1.0358,1.0358,1.0358,1.0358,1.04427,1.04427,1.04427,1.04427,1.04427,1.04427,1.04427,1.05274,1.05274,1.05274,1.05274,1.05274,1.05274,1.05274,1.06123,1.06123,1.06123,1.06123,1.06123,1.06123,1.06123,1.06971,1.06971,1.06971,1.06971,1.06971,1.06971,1.06971,1.0782,1.0782,1.0782,1.0782,1.0782,1.0782,1.0782,1.08668,1.08668,1.08668,1.08668,1.08668,1.08668,1.08668
