gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
42,3.78225,4.86744e-007,6.04096e-007,4.86744e-007,5.11325e-006,6.34604e-006,5.11325e-006,2.21584e-005,2.75007e-005,2.21584e-005,3.5074e-005,4.35302e-005,3.5074e-005,2.06756e-005,2.56604e-005,2.06756e-005
43,3.93998,3.14653e-007,3.90515e-007,3.14653e-007,3.43929e-006,4.26849e-006,3.43929e-006,1.5551e-005,1.93003e-005,1.5551e-005,2.53997e-005,3.15234e-005,2.53997e-005,1.52702e-005,1.89518e-005,1.52702e-005
44,4.10232,2.04067e-007,2.53267e-007,2.04067e-007,2.25482e-006,2.79844e-006,2.25482e-006,1.0322e-005,1.28106e-005,1.0322e-005,1.70701e-005,2.11856e-005,1.70701e-005,1.03596e-005,1.28573e-005,1.03596e-005
45,4.26943,1.2641e-007,1.56888e-007,1.2641e-007,1.42232e-006,1.76523e-006,1.42232e-006,6.60105e-006,8.19254e-006,6.60105e-006,1.10407e-005,1.37025e-005,1.10407e-005,6.75679e-006,8.38584e-006,6.75679e-006
46,4.44143,7.78724e-008,9.66472e-008,7.78724e-008,9.09706e-007,1.12903e-006,9.09706e-007,4.3392e-006,5.38537e-006,4.3392e-006,7.3679e-006,9.14428e-006,7.3679e-006,4.54248e-006,5.63766e-006,4.54248e-006
47,4.61847,4.94188e-008,6.13336e-008,4.94188e-008,5.89387e-007,7.31486e-007,5.89387e-007,2.86225e-006,3.55233e-006,2.86225e-006,4.93594e-006,6.12598e-006,4.93594e-006,3.0773e-006,3.81922e-006,3.0773e-006
48,4.8007,2.83851e-008,3.52287e-008,2.83851e-008,3.53572e-007,4.38817e-007,3.53572e-007,1.77829e-006,2.20703e-006,1.77829e-006,3.13858e-006,3.89528e-006,3.13858e-006,1.98402e-006,2.46236e-006,1.98402e-006
49,4.98827,1.54312e-008,1.91516e-008,1.54312e-008,1.95066e-007,2.42096e-007,1.95066e-007,9.80567e-007,1.21698e-006,9.80567e-007,1.71408e-006,2.12734e-006,1.71408e-006,1.07287e-006,1.33153e-006,1.07287e-006
50,5.18134,8.57335e-009,1.06404e-008,8.57335e-009,1.1043e-007,1.37054e-007,1.1043e-007,5.78684e-007,7.18203e-007,5.78684e-007,1.05517e-006,1.30957e-006,1.05517e-006,6.81139e-007,8.45359e-007,6.81139e-007
51,5.38006,4.72727e-009,5.867e-009,4.72727e-009,6.34928e-008,7.88007e-008,6.34928e-008,3.42808e-007,4.25458e-007,3.42808e-007,6.36729e-007,7.90242e-007,6.36729e-007,4.1541e-007,5.15563e-007,4.1541e-007
52,5.58461,2.37444e-009,2.9469e-009,2.37444e-009,3.25278e-008,4.03701e-008,3.25278e-008,1.7678e-007,2.19402e-007,1.7678e-007,3.27306e-007,4.06218e-007,3.27306e-007,2.12463e-007,2.63688e-007,2.12463e-007
53,5.79515,1.27324e-009,1.58022e-009,1.27324e-009,1.77356e-008,2.20116e-008,1.77356e-008,9.67433e-008,1.20068e-007,9.67433e-008,1.78327e-007,2.21321e-007,1.78327e-007,1.15125e-007,1.42881e-007,1.15125e-007
54,6.01186,6.28574e-010,7.80121e-010,6.28574e-010,8.82461e-009,1.09522e-008,8.82461e-009,4.95384e-008,6.14819e-008,4.95384e-008,9.40717e-008,1.16752e-007,9.40717e-008,6.20527e-008,7.70134e-008,6.20527e-008
55,6.23493,3.0666e-010,3.80594e-010,3.0666e-010,4.42696e-009,5.49428e-009,4.42696e-009,2.53698e-008,3.14864e-008,2.53698e-008,4.90883e-008,6.09233e-008,4.90883e-008,3.28247e-008,4.07387e-008,3.28247e-008
56,6.46452,1.36808e-010,1.69792e-010,1.36808e-010,1.97345e-009,2.44925e-009,1.97345e-009,1.13161e-008,1.40444e-008,1.13161e-008,2.1843e-008,2.71093e-008,2.1843e-008,1.45649e-008,1.80764e-008,1.45649e-008
57,6.70085,6.28243e-011,7.79711e-011,6.28243e-011,9.09229e-010,1.12844e-009,9.09229e-010,5.27809e-009,6.55062e-009,5.27809e-009,1.0313e-008,1.27994e-008,1.0313e-008,6.93463e-009,8.60654e-009,6.93463e-009
58,6.94411,2.80864e-011,3.48579e-011,2.80864e-011,4.2178e-010,5.2347e-010,4.2178e-010,2.51928e-009,3.12667e-009,2.51928e-009,5.01619e-009,6.22558e-009,5.01619e-009,3.41082e-009,4.23316e-009,3.41082e-009
59,7.19449,1.15738e-011,1.43642e-011,1.15738e-011,1.76987e-010,2.19658e-010,1.76987e-010,1.07255e-009,1.33114e-009,1.07255e-009,2.15454e-009,2.67399e-009,2.15454e-009,1.47216e-009,1.82709e-009,1.47216e-009
60,7.45221,4.88545e-012,6.06331e-012,4.88545e-012,7.70989e-011,9.56872e-011,7.70989e-011,4.67121e-010,5.79743e-010,4.67121e-010,9.26251e-010,1.14957e-009,9.26251e-010,6.25496e-010,7.76301e-010,6.25496e-010
61,7.71748,1.97248e-012,2.44803e-012,1.97248e-012,3.09966e-011,3.84698e-011,3.09966e-011,1.86255e-010,2.3116e-010,1.86255e-010,3.66959e-010,4.55432e-010,3.66959e-010,2.46825e-010,3.06334e-010,2.46825e-010
62,7.99052,6.78452e-013,8.42025e-013,6.78452e-013,1.08198e-011,1.34284e-011,1.08198e-011,6.59532e-011,8.18542e-011,6.59532e-011,1.30995e-010,1.62578e-010,1.30995e-010,8.84697e-011,1.09799e-010,8.84697e-011
63,8.27157,2.77267e-013,3.44115e-013,2.77267e-013,4.49056e-012,5.57322e-012,4.49056e-012,2.79163e-011,3.46469e-011,2.79163e-011,5.64313e-011,7.00366e-011,5.64313e-011,3.85714e-011,4.78709e-011,3.85714e-011
64,8.56085,9.92371e-014,1.23163e-013,9.92371e-014,1.63021e-012,2.02325e-012,1.63021e-012,1.01549e-011,1.26032e-011,1.01549e-011,2.04595e-011,2.53922e-011,2.04595e-011,1.39363e-011,1.72964e-011,1.39363e-011
65,8.85861,3.53248e-014,4.38415e-014,3.53248e-014,5.58913e-013,6.93665e-013,5.58913e-013,3.42725e-012,4.25355e-012,3.42725e-012,6.89366e-012,8.5557e-012,6.89366e-012,4.70496e-012,5.83931e-012,4.70496e-012
66,9.16509,1.18885e-014,1.47548e-014,1.18885e-014,1.93585e-013,2.40257e-013,1.93585e-013,1.22827e-012,1.52441e-012,1.22827e-012,2.53137e-012,3.14167e-012,2.53137e-012,1.75273e-012,2.1753e-012,1.75273e-012
