gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4]
55,6.23493,4.80367,4.80367,4.80367,4.80367,4.80367,4.76581,4.76581,4.76581,4.76581,4.76581,4.72077,4.72077,4.72077,4.72077,4.72077,4.67032,4.67032,4.67032,4.67032,4.67032,4.61778,4.61778,4.61778,4.61778,4.61778
56,6.46452,5.00035,5.00035,5.00035,5.00035,5.00035,4.96261,4.96261,4.96261,4.96261,4.96261,4.91779,4.91779,4.91779,4.91779,4.91779,4.8677,4.8677,4.8677,4.8677,4.8677,4.81552,4.81552,4.81552,4.81552,4.81552
57,6.70085,5.20343,5.20343,5.20343,5.20343,5.20343,5.16597,5.16597,5.16597,5.16597,5.16597,5.12149,5.12149,5.12149,5.12149,5.12149,5.07182,5.07182,5.07182,5.07182,5.07182,5.02003,5.02003,5.02003,5.02003,5.02003
58,6.94411,5.41296,5.41296,5.41296,5.41296,5.41296,5.37572,5.37572,5.37572,5.37572,5.37572,5.33153,5.33153,5.33153,5.33153,5.33153,5.28227,5.28227,5.28227,5.28227,5.28227,5.23109,5.23109,5.23109,5.23109,5.23109
59,7.19449,5.62925,5.62925,5.62925,5.62925,5.62925,5.59221,5.59221,5.59221,5.59221,5.59221,5.54809,5.54809,5.54809,5.54809,5.54809,5.4989,5.4989,5.4989,5.4989,5.4989,5.44799,5.44799,5.44799,5.44799,5.44799
60,7.45221,5.85258,5.85258,5.85258,5.85258,5.85258,5.81583,5.81583,5.81583,5.81583,5.81583,5.77187,5.77187,5.77187,5.77187,5.77187,5.7227,5.7227,5.7227,5.7227,5.7227,5.67175,5.67175,5.67175,5.67175,5.67175
61,7.71748,6.08293,6.08293,6.08293,6.08293,6.08293,6.04653,6.04653,6.04653,6.04653,6.04653,6.00299,6.00299,6.00299,6.00299,6.00299,5.95422,5.95422,5.95422,5.95422,5.95422,5.90355,5.90355,5.90355,5.90355,5.90355
62,7.99052,6.32037,6.32037,6.32037,6.32037,6.32037,6.28432,6.28432,6.28432,6.28432,6.28432,6.24138,6.24138,6.24138,6.24138,6.24138,6.1932,6.1932,6.1932,6.1932,6.1932,6.14308,6.14308,6.14308,6.14308,6.14308
63,8.27157,6.56509,6.56509,6.56509,6.56509,6.56509,6.52916,6.52916,6.52916,6.52916,6.52916,6.48662,6.48662,6.48662,6.48662,6.48662,6.43908,6.43908,6.43908,6.43908,6.43908,6.38961,6.38961,6.38961,6.38961,6.38961
64,8.56085,6.81765,6.81765,6.81765,6.81765,6.81765,6.78167,6.78167,6.78167,6.78167,6.78167,6.73927,6.73927,6.73927,6.73927,6.73927,6.69207,6.69207,6.69207,6.69207,6.69207,6.64297,6.64297,6.64297,6.64297,6.64297
