gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
32,0.713126,0.518096,0.555088,0.600353,0.655737,0.723536,0.80652,0.908111,0.524444,0.561451,0.606732,0.662134,0.729952,0.812953,0.914564,0.530792,0.567821,0.613116,0.668536,0.736369,0.819385,0.921017,0.537146,0.57419,0.619502,0.674938,0.742787,0.825821,0.92747,0.543504,0.580559,0.625889,0.681341,0.749209,0.83226,0.933923,0.549863,0.586933,0.632275,0.687745,0.755632,0.838699,0.940379,0.556222,0.593313,0.638667,0.694155,0.762054,0.845137,0.946836
33,0.739924,0.543159,0.580214,0.625542,0.680993,0.748861,0.831911,0.933573,0.549757,0.586827,0.632169,0.687638,0.755524,0.838591,0.940271,0.556355,0.593446,0.638801,0.694289,0.762188,0.845272,0.946971,0.56296,0.600065,0.645435,0.70094,0.768853,0.851954,0.953671,0.569569,0.606683,0.65207,0.707591,0.775521,0.85864,0.960371,0.576178,0.613308,0.658705,0.714243,0.78219,0.865326,0.967072,0.582787,0.619935,0.665346,0.720901,0.788859,0.872012,0.973776
34,0.767033,0.568557,0.60567,0.651054,0.706572,0.7745,0.857616,0.959345,0.575408,0.612536,0.657932,0.713467,0.781413,0.864547,0.966291,0.582259,0.619406,0.664816,0.72037,0.788326,0.871478,0.973241,0.589119,0.626275,0.671703,0.727272,0.79524,0.878409,0.980191,0.59598,0.633145,0.67859,0.734174,0.80216,0.885345,0.987141,0.602842,0.640022,0.685477,0.741077,0.809079,0.892281,0.994091,0.609705,0.6469,0.692371,0.747985,0.815999,0.899218,1.00104
35,0.794456,0.594292,0.631455,0.676895,0.732475,0.800457,0.883638,0.985431,0.601399,0.638575,0.684028,0.739624,0.807624,0.890823,0.992629,0.608506,0.645699,0.691167,0.746779,0.814791,0.898007,0.99983,0.615621,0.652824,0.698309,0.753934,0.821958,0.905191,1.00703,0.622737,0.659948,0.705451,0.76109,0.829132,0.912379,1.01424,0.629853,0.667081,0.712593,0.768246,0.836306,0.919569,1.02144,0.636973,0.674215,0.719742,0.775407,0.84348,0.926759,1.02864
36,0.822196,0.620363,0.657571,0.703068,0.758702,0.826738,0.90998,1.01183,0.627728,0.66495,0.710459,0.766107,0.834162,0.917421,1.01929,0.635093,0.672333,0.717856,0.773517,0.841587,0.924862,1.02674,0.642467,0.679716,0.725255,0.780928,0.849011,0.932303,1.0342,0.64984,0.6871,0.732654,0.788339,0.856441,0.939746,1.04166,0.657214,0.694492,0.740054,0.795752,0.863871,0.947192,1.04911,0.664594,0.701884,0.74746,0.80317,0.871301,0.954638,1.05657
37,0.850258,0.64677,0.684025,0.729574,0.785254,0.853347,0.936646,1.03855,0.654396,0.691666,0.737226,0.792918,0.861031,0.944346,1.04626,0.662024,0.699311,0.744882,0.800588,0.868715,0.952046,1.05398,0.669659,0.706955,0.752541,0.808259,0.876399,0.959746,1.06169,0.677295,0.714601,0.760199,0.81593,0.884087,0.967447,1.06941,0.684931,0.722254,0.767858,0.823603,0.891777,0.975152,1.07712,0.692574,0.729907,0.775523,0.831282,0.899467,0.982857,1.08484
38,0.878644,0.67352,0.71082,0.756412,0.812137,0.880285,0.963639,1.06559,0.68141,0.718726,0.764327,0.820065,0.888231,0.971599,1.07356,0.689304,0.726634,0.772245,0.827998,0.896178,0.979562,1.08154,0.697205,0.734542,0.780166,0.835933,0.904124,0.987524,1.08951,0.705105,0.742453,0.788086,0.843868,0.912075,0.995486,1.09749,0.713006,0.750368,0.796009,0.851805,0.920027,1.00345,1.10547,0.720915,0.758283,0.803937,0.859746,0.92798,1.01142,1.11345
39,0.90736,0.700614,0.737955,0.783584,0.839358,0.907554,0.99096,1.09296,0.708773,0.746127,0.791764,0.847552,0.915767,0.999185,1.10119,0.716936,0.754301,0.799949,0.855751,0.923979,1.00741,1.10943,0.725104,0.762475,0.808136,0.863952,0.932192,1.01564,1.11767,0.733272,0.770652,0.816324,0.872153,0.940407,1.02387,1.12591,0.741441,0.778832,0.824514,0.880356,0.948625,1.0321,1.13416,0.749615,0.787013,0.832709,0.888563,0.956843,1.04033,1.1424
40,0.936408,0.728056,0.76543,0.811096,0.866917,0.93516,1.01861,1.12065,0.736486,0.773871,0.819546,0.87538,0.943641,1.0271,1.12916,0.744919,0.782313,0.828001,0.883848,0.952122,1.0356,1.13766,0.753356,0.790756,0.836459,0.892318,0.960603,1.04409,1.14617,0.761792,0.799203,0.844917,0.900788,0.969086,1.05259,1.15468,0.770231,0.807654,0.853377,0.909259,0.977573,1.06109,1.16319,0.778675,0.816104,0.861842,0.917736,0.98606,1.06958,1.1717
41,0.965793,0.755844,0.793246,0.838954,0.894816,0.963105,1.0466,1.14868,0.764545,0.801961,0.847677,0.903552,0.971856,1.05536,1.15746,0.773252,0.810677,0.856405,0.912291,0.980609,1.06413,1.16623,0.78196,0.819393,0.865135,0.921034,0.989362,1.07289,1.17501,0.790668,0.828114,0.873866,0.929776,0.998116,1.08166,1.18379,0.799382,0.836839,0.882599,0.93852,1.00687,1.09042,1.19257,0.808099,0.845563,0.891336,0.947268,1.01563,1.09919,1.20135
