gridnumber,capital,Port[0 0],Port[0 1],Port[0 2],Port[0 3],Port[0 4],Port[1 0],Port[1 1],Port[1 2],Port[1 3],Port[1 4],Port[2 0],Port[2 1],Port[2 2],Port[2 3],Port[2 4],Port[3 0],Port[3 1],Port[3 2],Port[3 3],Port[3 4],Port[4 0],Port[4 1],Port[4 2],Port[4 3],Port[4 4]
108,34.6128,0.12,0.3,0.48,0.64,0.8,0.1,0.3,0.46,0.64,0.8,0.12,0.3,0.48,0.66,0.8,0.1,0.3,0.48,0.66,0.82,0.08,0.28,0.46,0.64,0.82
109,35.674,0.12,0.3,0.48,0.64,0.8,0.1,0.28,0.46,0.64,0.8,0.12,0.3,0.48,0.66,0.78,0.12,0.3,0.48,0.66,0.82,0.08,0.28,0.46,0.62,0.8
110,36.7663,0.12,0.3,0.48,0.64,0.8,0.1,0.28,0.46,0.64,0.8,0.12,0.3,0.48,0.66,0.78,0.12,0.3,0.48,0.66,0.8,0.08,0.26,0.44,0.62,0.8
111,37.8906,0.12,0.3,0.48,0.62,0.8,0.1,0.28,0.46,0.64,0.8,0.12,0.3,0.48,0.64,0.78,0.12,0.3,0.48,0.66,0.78,0.08,0.26,0.44,0.62,0.8
112,39.0479,0.12,0.3,0.48,0.62,0.78,0.1,0.28,0.46,0.64,0.8,0.12,0.3,0.46,0.64,0.8,0.12,0.3,0.48,0.66,0.78,0.08,0.26,0.46,0.62,0.8
113,40.239,0.12,0.3,0.48,0.62,0.78,0.1,0.28,0.46,0.64,0.8,0.12,0.3,0.46,0.64,0.8,0.12,0.3,0.48,0.66,0.76,0.08,0.28,0.46,0.64,0.8
114,41.4651,0.12,0.3,0.48,0.62,0.78,0.1,0.28,0.46,0.62,0.8,0.1,0.28,0.46,0.64,0.8,0.12,0.3,0.48,0.66,0.76,0.1,0.28,0.46,0.64,0.78
115,42.7271,0.14,0.3,0.48,0.62,0.78,0.1,0.28,0.46,0.62,0.78,0.1,0.28,0.46,0.62,0.8,0.12,0.3,0.48,0.64,0.76,0.1,0.28,0.46,0.62,0.78
116,44.0261,0.14,0.3,0.46,0.62,0.78,0.12,0.28,0.46,0.62,0.78,0.1,0.28,0.46,0.62,0.8,0.12,0.3,0.48,0.62,0.76,0.1,0.28,0.46,0.64,0.78
117,45.3631,0.14,0.3,0.44,0.6,0.76,0.12,0.3,0.46,0.62,0.78,0.1,0.28,0.46,0.62,0.8,0.12,0.3,0.46,0.6,0.76,0.12,0.3,0.48,0.62,0.76
118,46.7394,0.14,0.32,0.44,0.6,0.76,0.12,0.3,0.46,0.62,0.78,0.1,0.28,0.46,0.62,0.8,0.12,0.3,0.46,0.6,0.76,0.12,0.3,0.48,0.6,0.76
119,48.1559,0.14,0.32,0.44,0.6,0.76,0.12,0.3,0.44,0.62,0.76,0.1,0.28,0.46,0.62,0.78,0.12,0.28,0.44,0.6,0.78,0.12,0.3,0.48,0.6,0.76
120,49.614,0.14,0.32,0.44,0.6,0.74,0.12,0.3,0.44,0.6,0.74,0.1,0.28,0.46,0.62,0.76,0.1,0.28,0.44,0.6,0.78,0.12,0.3,0.46,0.58,0.76
121,51.1148,0.14,0.3,0.44,0.6,0.74,0.12,0.3,0.44,0.6,0.74,0.1,0.28,0.46,0.62,0.74,0.1,0.28,0.44,0.6,0.78,0.12,0.3,0.42,0.58,0.76
122,52.6596,0.14,0.28,0.42,0.6,0.74,0.12,0.3,0.44,0.6,0.74,0.1,0.28,0.46,0.62,0.72,0.1,0.28,0.44,0.62,0.76,0.12,0.3,0.42,0.58,0.74
123,54.2497,0.14,0.28,0.42,0.6,0.74,0.14,0.28,0.44,0.6,0.74,0.1,0.28,0.44,0.6,0.72,0.1,0.28,0.44,0.62,0.74,0.12,0.3,0.42,0.58,0.74
124,55.8863,0.14,0.26,0.42,0.58,0.74,0.14,0.28,0.44,0.6,0.74,0.12,0.28,0.44,0.6,0.72,0.1,0.28,0.44,0.62,0.72,0.12,0.28,0.42,0.58,0.74
125,57.5709,0.14,0.26,0.42,0.58,0.74,0.14,0.26,0.44,0.6,0.74,0.12,0.28,0.44,0.6,0.72,0.1,0.28,0.44,0.62,0.72,0.12,0.28,0.42,0.6,0.74
126,59.3049,0.14,0.26,0.42,0.58,0.74,0.14,0.26,0.42,0.6,0.74,0.12,0.28,0.44,0.6,0.72,0.1,0.28,0.44,0.62,0.72,0.1,0.28,0.42,0.6,0.74
127,61.0897,0.14,0.26,0.42,0.58,0.74,0.14,0.26,0.42,0.58,0.74,0.12,0.28,0.44,0.58,0.72,0.1,0.28,0.44,0.6,0.72,0.1,0.28,0.42,0.6,0.74
128,62.9268,0.14,0.26,0.42,0.58,0.74,0.14,0.26,0.42,0.58,0.74,0.12,0.26,0.44,0.6,0.72,0.1,0.28,0.44,0.58,0.72,0.1,0.28,0.44,0.6,0.72
129,64.8177,0.14,0.26,0.42,0.58,0.72,0.14,0.26,0.42,0.58,0.74,0.12,0.26,0.44,0.6,0.72,0.1,0.28,0.44,0.56,0.72,0.1,0.26,0.44,0.58,0.72
130,66.7641,0.14,0.26,0.42,0.58,0.7,0.14,0.26,0.42,0.58,0.72,0.12,0.26,0.42,0.58,0.72,0.1,0.28,0.44,0.54,0.72,0.1,0.28,0.44,0.56,0.72
131,68.7675,0.14,0.26,0.42,0.58,0.68,0.14,0.26,0.42,0.58,0.7,0.14,0.26,0.42,0.58,0.72,0.1,0.28,0.44,0.56,0.7,0.1,0.28,0.44,0.56,0.72
132,70.8295,0.14,0.26,0.42,0.58,0.68,0.14,0.24,0.42,0.58,0.68,0.14,0.26,0.42,0.58,0.7,0.12,0.26,0.44,0.56,0.7,0.1,0.28,0.44,0.56,0.72
133,72.9521,0.14,0.26,0.42,0.58,0.68,0.14,0.24,0.42,0.58,0.68,0.14,0.26,0.42,0.58,0.7,0.12,0.26,0.44,0.56,0.7,0.1,0.28,0.44,0.54,0.7
134,75.1368,0.14,0.26,0.42,0.58,0.68,0.14,0.24,0.42,0.58,0.68,0.14,0.26,0.42,0.58,0.7,0.12,0.26,0.42,0.56,0.7,0.1,0.28,0.44,0.54,0.7
135,77.3855,0.14,0.26,0.42,0.58,0.68,0.14,0.24,0.42,0.58,0.68,0.14,0.26,0.42,0.58,0.68,0.12,0.26,0.42,0.56,0.7,0.1,0.28,0.44,0.54,0.7
136,79.7002,0.14,0.26,0.42,0.58,0.68,0.14,0.24,0.42,0.58,0.68,0.14,0.24,0.42,0.58,0.68,0.12,0.26,0.42,0.56,0.7,0.1,0.28,0.44,0.54,0.7
137,82.0826,0.14,0.26,0.42,0.56,0.68,0.14,0.26,0.42,0.58,0.68,0.12,0.24,0.42,0.58,0.68,0.12,0.26,0.42,0.56,0.7,0.1,0.26,0.44,0.54,0.7
