gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
177,264.1,-4.79771,-4.79416,-4.78791,-4.77921,-4.76828,-4.79056,-4.78705,-4.78083,-4.77221,-4.76129,-4.7817,-4.7782,-4.772,-4.7635,-4.7526,-4.77099,-4.76751,-4.76139,-4.75297,-4.74209,-4.75839,-4.75498,-4.74901,-4.74067,-4.72982
178,271.886,-4.73725,-4.73375,-4.72758,-4.71897,-4.70819,-4.73038,-4.72691,-4.72076,-4.71224,-4.70146,-4.72185,-4.71839,-4.71226,-4.70387,-4.69309,-4.71154,-4.70809,-4.70204,-4.69373,-4.68298,-4.69941,-4.69603,-4.69012,-4.68188,-4.67116
179,279.901,-4.67738,-4.67391,-4.66783,-4.65931,-4.64868,-4.67076,-4.66733,-4.66126,-4.65283,-4.6422,-4.66254,-4.65913,-4.65308,-4.64478,-4.63414,-4.65263,-4.64922,-4.64323,-4.63503,-4.62441,-4.64094,-4.63761,-4.63176,-4.62362,-4.61302
180,288.15,-4.61807,-4.61465,-4.60864,-4.60022,-4.58973,-4.6117,-4.60831,-4.60232,-4.59399,-4.58349,-4.6038,-4.60042,-4.59445,-4.58624,-4.57574,-4.59426,-4.59088,-4.58497,-4.57686,-4.56637,-4.583,-4.5797,-4.57392,-4.56588,-4.55541
181,296.641,-4.55934,-4.55596,-4.55003,-4.54171,-4.53136,-4.55322,-4.54986,-4.54394,-4.53571,-4.52536,-4.5456,-4.54227,-4.53637,-4.52826,-4.5179,-4.53642,-4.53309,-4.52725,-4.51924,-4.50889,-4.52559,-4.52233,-4.5166,-4.50867,-4.49834
182,305.381,-4.50118,-4.49784,-4.49199,-4.48377,-4.47356,-4.49529,-4.49198,-4.48614,-4.47801,-4.46779,-4.48797,-4.48468,-4.47886,-4.47083,-4.46062,-4.47914,-4.47584,-4.47008,-4.46217,-4.45196,-4.46871,-4.46549,-4.45982,-4.45199,-4.4418
183,314.377,-4.4436,-4.44031,-4.43454,-4.42642,-4.41635,-4.43794,-4.43466,-4.42891,-4.42087,-4.4108,-4.43089,-4.42764,-4.4219,-4.41398,-4.40391,-4.4224,-4.41915,-4.41345,-4.40565,-4.39558,-4.41236,-4.40918,-4.40358,-4.39586,-4.3858
184,323.636,-4.3866,-4.38335,-4.37766,-4.36965,-4.35972,-4.38116,-4.37792,-4.37225,-4.36432,-4.35439,-4.37437,-4.37117,-4.36551,-4.35768,-4.34777,-4.3662,-4.363,-4.35738,-4.34967,-4.33976,-4.35656,-4.35341,-4.34787,-4.34026,-4.33035
185,333.167,-4.33019,-4.32697,-4.32137,-4.31347,-4.3037,-4.32495,-4.32176,-4.31617,-4.30834,-4.29857,-4.31842,-4.31526,-4.30969,-4.30196,-4.29221,-4.31057,-4.3074,-4.30186,-4.29426,-4.28453,-4.30129,-4.29818,-4.29271,-4.28522,-4.27549
186,342.977,-4.27435,-4.27118,-4.26567,-4.25788,-4.2483,-4.26931,-4.26617,-4.26066,-4.25295,-4.24337,-4.26304,-4.25992,-4.25443,-4.24682,-4.23725,-4.25548,-4.25237,-4.24691,-4.23942,-4.22987,-4.24657,-4.24349,-4.2381,-4.23074,-4.2212
187,353.075,-4.2191,-4.21598,-4.21056,-4.20289,-4.19351,-4.21426,-4.21116,-4.20575,-4.19816,-4.18877,-4.20823,-4.20516,-4.19976,-4.19227,-4.18289,-4.20096,-4.19789,-4.19253,-4.18516,-4.1758,-4.19239,-4.18936,-4.18405,-4.17681,-4.16748
188,363.469,-4.16444,-4.16137,-4.15605,-4.14856,-4.13934,-4.15979,-4.15674,-4.15143,-4.14399,-4.13479,-4.154,-4.15097,-4.14568,-4.13832,-4.12914,-4.14701,-4.14399,-4.13872,-4.1315,-4.12233,-4.13877,-4.13578,-4.13057,-4.12349,-4.11435
189,374.167,-4.11038,-4.10736,-4.10216,-4.09483,-4.08582,-4.10591,-4.10291,-4.09772,-4.09045,-4.08146,-4.10034,-4.09737,-4.09219,-4.085,-4.07602,-4.09363,-4.09066,-4.08551,-4.07844,-4.06949,-4.08571,-4.08278,-4.07767,-4.07075,-4.06182
190,385.179,-4.05693,-4.05397,-4.04891,-4.04175,-4.03294,-4.05264,-4.04969,-4.04465,-4.03754,-4.02876,-4.04729,-4.04437,-4.03935,-4.03231,-4.02354,-4.04083,-4.03793,-4.03294,-4.02602,-4.01727,-4.03323,-4.03035,-4.02539,-4.01862,-4.00991
191,396.513,-4.0041,-4.0012,-3.9963,-3.98933,-3.98077,-3.99997,-3.9971,-3.99222,-3.98529,-3.97681,-3.99484,-3.99198,-3.98713,-3.98027,-3.97181,-3.98863,-3.9858,-3.98099,-3.97423,-3.96577,-3.98134,-3.97853,-3.97375,-3.96712,-3.95873
192,408.179,-3.9519,-3.94909,-3.94436,-3.93757,-3.92998,-3.94794,-3.94515,-3.94044,-3.9337,-3.92618,-3.94301,-3.94024,-3.93556,-3.92888,-3.92146,-3.93706,-3.9343,-3.92966,-3.92309,-3.91572,-3.93005,-3.92735,-3.92274,-3.91625,-3.90906
193,420.188,-3.90038,-3.89767,-3.8931,-3.88684,-3.88025,-3.89658,-3.89389,-3.88934,-3.88313,-3.87658,-3.89185,-3.88918,-3.88466,-3.87854,-3.87201,-3.88614,-3.8835,-3.87901,-3.87304,-3.86652,-3.87942,-3.87684,-3.87238,-3.86652,-3.86009
194,432.548,-3.84958,-3.84701,-3.84264,-3.83767,-3.83067,-3.84594,-3.84339,-3.83903,-3.83413,-3.82713,-3.84141,-3.83888,-3.83454,-3.82972,-3.82274,-3.83594,-3.83343,-3.82919,-3.82439,-3.81745,-3.8295,-3.82705,-3.8229,-3.81817,-3.81123
195,445.271,-3.79958,-3.79712,-3.79366,-3.78892,-3.78115,-3.7961,-3.79365,-3.79021,-3.7855,-3.77774,-3.79177,-3.78933,-3.78596,-3.78125,-3.7735,-3.78653,-3.78412,-3.78086,-3.77617,-3.76839,-3.78036,-3.77805,-3.77487,-3.77023,-3.7624
196,458.366,-3.75044,-3.74843,-3.74588,-3.74034,-3.73179,-3.74711,-3.7451,-3.74259,-3.73706,-3.72852,-3.74297,-3.74096,-3.73851,-3.73299,-3.72444,-3.73796,-3.73606,-3.73359,-3.72809,-3.71951,-3.73207,-3.73032,-3.72781,-3.72235,-3.71372
197,471.845,-3.70222,-3.70137,-3.69823,-3.69188,-3.68395,-3.69902,-3.69823,-3.69507,-3.68881,-3.68088,-3.69504,-3.69433,-3.69113,-3.68502,-3.67707,-3.69033,-3.68962,-3.68637,-3.68045,-3.67248,-3.68482,-3.68409,-3.6808,-3.67512,-3.6671
198,485.719,-3.65738,-3.65645,-3.65305,-3.64678,-3.63756,-3.65443,-3.65351,-3.65009,-3.64381,-3.63458,-3.65078,-3.64986,-3.6464,-3.64011,-3.63086,-3.6464,-3.64547,-3.64197,-3.63564,-3.62638,-3.64134,-3.64032,-3.6368,-3.63042,-3.62113
199,500,-3.61481,-3.61267,-3.60799,-3.6004,-3.5899,-3.61195,-3.60981,-3.6051,-3.59752,-3.587,-3.60842,-3.60625,-3.60151,-3.59393,-3.58338,-3.60419,-3.60195,-3.59719,-3.58957,-3.579,-3.59923,-3.59691,-3.59213,-3.58445,-3.57385
