gridnumber,capital,VF[0],VF[1],VF[2],VF[3],VF[4],VF[5],VF[6]
112,4.21297,-18.8659,-18.699,-18.5339,-18.3699,-18.2086,-18.0485,-17.8901
113,4.28031,-18.6518,-18.4854,-18.3208,-18.1573,-17.9965,-17.837,-17.6791
114,4.34843,-18.4392,-18.2733,-18.1093,-17.9464,-17.7861,-17.6272,-17.4698
115,4.41735,-18.2283,-18.0629,-17.8994,-17.7371,-17.5774,-17.419,-17.2622
116,4.48706,-18.0189,-17.8541,-17.6911,-17.5294,-17.3702,-17.2125,-17.0562
117,4.55758,-17.8111,-17.6468,-17.4845,-17.3234,-17.1648,-17.0077,-16.852
118,4.62892,-17.6049,-17.4412,-17.2794,-17.119,-16.9609,-16.8045,-16.6494
119,4.70108,-17.4002,-17.2371,-17.076,-16.9162,-16.7587,-16.6029,-16.4485
120,4.77408,-17.1971,-17.0347,-16.8742,-16.715,-16.5582,-16.4031,-16.2493
121,4.84793,-16.9956,-16.8338,-16.6739,-16.5154,-16.3592,-16.2048,-16.0518
122,4.92263,-16.7957,-16.6345,-16.4753,-16.3175,-16.1619,-16.0082,-15.8559
123,4.99819,-16.5973,-16.4368,-16.2783,-16.1212,-15.9663,-15.8132,-15.6616
124,5.07463,-16.4005,-16.2406,-16.0828,-15.9264,-15.7722,-15.6199,-15.469
125,5.15196,-16.2052,-16.0461,-15.889,-15.7333,-15.5798,-15.4282,-15.2781
126,5.23019,-16.0116,-15.8531,-15.6967,-15.5418,-15.3889,-15.2381,-15.0888
127,5.30931,-15.8194,-15.6616,-15.506,-15.3518,-15.1997,-15.0497,-14.9011
128,5.38936,-15.6289,-15.4718,-15.3169,-15.1635,-15.0121,-14.8628,-14.715
129,5.47033,-15.4398,-15.2835,-15.1294,-14.9767,-14.8261,-14.6776,-14.5306
130,5.55225,-15.2524,-15.0968,-14.9434,-14.7916,-14.6417,-14.494,-14.3478
131,5.63511,-15.0664,-14.9116,-14.759,-14.608,-14.4588,-14.312,-14.1666
132,5.71893,-14.882,-14.728,-14.5762,-14.426,-14.2776,-14.1316,-13.987
133,5.80372,-14.6992,-14.546,-14.395,-14.2456,-14.098,-13.9527,-13.8091
134,5.88949,-14.5179,-14.3654,-14.2153,-14.0667,-13.9199,-13.7755,-13.6327
135,5.97626,-14.3381,-14.1865,-14.0372,-13.8894,-13.7434,-13.5999,-13.4579
136,6.06403,-14.1599,-14.0091,-13.8606,-13.7137,-13.5685,-13.4258,-13.2847
137,6.15282,-13.9832,-13.8332,-13.6856,-13.5395,-13.3952,-13.2534,-13.1131
138,6.24264,-13.808,-13.6589,-13.5121,-13.3669,-13.2234,-13.0825,-12.9431
139,6.3335,-13.6344,-13.4861,-13.3402,-13.1959,-13.0532,-12.9132,-12.7747
140,6.42541,-13.4622,-13.3148,-13.1698,-13.0264,-12.8846,-12.7454,-12.6078
141,6.51839,-13.2916,-13.145,-13.0009,-12.8584,-12.7175,-12.5792,-12.4425
142,6.61244,-13.1225,-12.9768,-12.8336,-12.692,-12.552,-12.4145,-12.2788
143,6.70758,-12.9549,-12.8101,-12.6678,-12.5271,-12.388,-12.2515,-12.1166
144,6.80383,-12.7888,-12.6449,-12.5035,-12.3637,-12.2256,-12.0899,-11.956
145,6.90119,-12.6242,-12.4812,-12.3407,-12.2019,-12.0647,-11.9299,-11.797
