gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[1 0],VF[1 1],VF[1 2],VF[2 0],VF[2 1],VF[2 2],VF[3 0],VF[3 1],VF[3 2],VF[4 0],VF[4 1],VF[4 2]
124,55.8863,-2.49752,-2.49465,-2.49045,-2.48217,-2.47935,-2.47523,-2.46336,-2.46054,-2.45651,-2.44097,-2.43828,-2.43444,-2.41532,-2.41281,-2.40905
125,57.5709,-2.46864,-2.46578,-2.46163,-2.45382,-2.45103,-2.44694,-2.43567,-2.43288,-2.42889,-2.41406,-2.41136,-2.40756,-2.38925,-2.38678,-2.38305
126,59.3049,-2.43999,-2.43715,-2.43303,-2.42569,-2.42292,-2.41887,-2.40818,-2.40542,-2.40147,-2.38731,-2.38462,-2.38085,-2.36333,-2.36089,-2.35717
127,61.0897,-2.41157,-2.40874,-2.40467,-2.39777,-2.39502,-2.39101,-2.38088,-2.37815,-2.37423,-2.36074,-2.35807,-2.35433,-2.33755,-2.33513,-2.33145
128,62.9268,-2.38338,-2.38057,-2.37654,-2.37007,-2.36735,-2.36336,-2.35377,-2.35107,-2.34718,-2.33434,-2.33169,-2.32797,-2.31191,-2.30952,-2.30587
129,64.8177,-2.35542,-2.35263,-2.34864,-2.34258,-2.33988,-2.33593,-2.32686,-2.32419,-2.32032,-2.30811,-2.30548,-2.30178,-2.28644,-2.28407,-2.28045
130,66.7641,-2.32769,-2.32492,-2.32097,-2.3153,-2.31263,-2.30872,-2.30015,-2.2975,-2.29366,-2.28206,-2.27944,-2.27576,-2.26113,-2.25877,-2.25518
131,68.7675,-2.30019,-2.29744,-2.29354,-2.28824,-2.28559,-2.28172,-2.27363,-2.27101,-2.2672,-2.25619,-2.25358,-2.24992,-2.23597,-2.23362,-2.23006
132,70.8295,-2.27292,-2.27019,-2.26633,-2.2614,-2.25878,-2.25494,-2.24732,-2.24472,-2.24095,-2.2305,-2.22791,-2.22426,-2.21098,-2.20862,-2.2051
133,72.9521,-2.24588,-2.24317,-2.23936,-2.23478,-2.23217,-2.22838,-2.2212,-2.21863,-2.21489,-2.20498,-2.20242,-2.19878,-2.18616,-2.18379,-2.1803
134,75.1368,-2.21908,-2.21639,-2.21261,-2.20837,-2.20579,-2.20203,-2.19528,-2.19273,-2.18903,-2.17964,-2.17711,-2.1735,-2.1615,-2.15911,-2.15566
135,77.3855,-2.1925,-2.18983,-2.1861,-2.18218,-2.17962,-2.1759,-2.16956,-2.16704,-2.16337,-2.15449,-2.15198,-2.14841,-2.13699,-2.1346,-2.13119
136,79.7002,-2.16616,-2.16351,-2.15981,-2.15621,-2.15367,-2.14999,-2.14405,-2.14155,-2.13792,-2.12952,-2.12704,-2.12349,-2.11264,-2.11025,-2.10688
137,82.0826,-2.14005,-2.13741,-2.13376,-2.13046,-2.12794,-2.1243,-2.11873,-2.11626,-2.11267,-2.10474,-2.10229,-2.09876,-2.08846,-2.08609,-2.08274
138,84.5349,-2.11417,-2.11155,-2.10794,-2.10493,-2.10243,-2.09883,-2.09362,-2.09118,-2.08762,-2.08014,-2.07771,-2.07422,-2.06445,-2.06209,-2.05876
139,87.0591,-2.08851,-2.08592,-2.08235,-2.07963,-2.07714,-2.07359,-2.06872,-2.0663,-2.06278,-2.05572,-2.05333,-2.04986,-2.04061,-2.03826,-2.03494
140,89.6572,-2.06309,-2.06052,-2.05699,-2.05454,-2.05206,-2.04856,-2.04402,-2.04163,-2.03815,-2.0315,-2.02914,-2.0257,-2.01694,-2.0146,-2.0113
141,92.3314,-2.0379,-2.03536,-2.03186,-2.02967,-2.02721,-2.02375,-2.01953,-2.01717,-2.01372,-2.00747,-2.00513,-2.00173,-1.99343,-1.99112,-1.98784
142,95.084,-2.01294,-2.01042,-2.00696,-2.00502,-2.00258,-1.99915,-1.99525,-1.99291,-1.9895,-1.98363,-1.98131,-1.97795,-1.97011,-1.9678,-1.96455
143,97.9173,-1.98821,-1.98571,-1.9823,-1.98059,-1.97817,-1.97478,-1.97118,-1.96885,-1.96548,-1.95998,-1.95768,-1.95436,-1.94695,-1.94467,-1.94144
144,100.834,-1.96371,-1.96124,-1.95787,-1.95638,-1.95398,-1.95063,-1.94731,-1.94501,-1.94168,-1.93653,-1.93425,-1.93096,-1.92397,-1.92172,-1.9185
145,103.835,-1.93944,-1.93701,-1.93366,-1.93239,-1.93001,-1.9267,-1.92366,-1.92137,-1.91808,-1.91327,-1.91101,-1.90776,-1.90117,-1.89895,-1.89575
146,106.925,-1.91541,-1.913,-1.90969,-1.90862,-1.90626,-1.90299,-1.90021,-1.89794,-1.8947,-1.8902,-1.88797,-1.88475,-1.87855,-1.87635,-1.87318
147,110.105,-1.89161,-1.88922,-1.88595,-1.88507,-1.88273,-1.8795,-1.87697,-1.87473,-1.87152,-1.86733,-1.86512,-1.86194,-1.85612,-1.85394,-1.8508
148,113.379,-1.86804,-1.86569,-1.86245,-1.86174,-1.85943,-1.85623,-1.85394,-1.85172,-1.84855,-1.84465,-1.84248,-1.83933,-1.83386,-1.83171,-1.8286
149,116.748,-1.8447,-1.84237,-1.83917,-1.83864,-1.83635,-1.83319,-1.83112,-1.82892,-1.82579,-1.82218,-1.82003,-1.81691,-1.81178,-1.80966,-1.80658
150,120.216,-1.8216,-1.81929,-1.81613,-1.81576,-1.8135,-1.81037,-1.80852,-1.80634,-1.80324,-1.7999,-1.79777,-1.79469,-1.78989,-1.78779,-1.78474
