gridnumber,capital,dist[0 0],dist[0 1],dist[0 2],dist[1 0],dist[1 1],dist[1 2],dist[2 0],dist[2 1],dist[2 2],dist[3 0],dist[3 1],dist[3 2],dist[4 0],dist[4 1],dist[4 2]
59,7.19449,1.35731e-005,1.68455e-005,1.35731e-005,6.24956e-005,7.75631e-005,6.24956e-005,0.000130535,0.000162007,0.000130535,0.000113979,0.000141459,0.000113979,4.3548e-005,5.40473e-005,4.3548e-005
60,7.45221,1.22906e-005,1.52538e-005,1.22906e-005,5.63694e-005,6.99598e-005,5.63694e-005,0.000115623,0.0001435,0.000115623,9.81633e-005,0.00012183,9.81633e-005,3.63506e-005,4.51146e-005,3.63506e-005
61,7.71748,1.05388e-005,1.30797e-005,1.05388e-005,4.88785e-005,6.0663e-005,4.88785e-005,0.000100752,0.000125043,0.000100752,8.47245e-005,0.000105151,8.47245e-005,3.06807e-005,3.80777e-005,3.06807e-005
62,7.99052,9.24538e-006,1.14744e-005,9.24538e-006,4.17843e-005,5.18583e-005,4.17843e-005,8.53366e-005,0.000105911,8.53366e-005,7.30798e-005,9.06991e-005,7.30798e-005,2.75179e-005,3.41523e-005,2.75179e-005
63,8.27157,8.03794e-006,9.97586e-006,8.03794e-006,3.65146e-005,4.53181e-005,3.65146e-005,7.46999e-005,9.27098e-005,7.46999e-005,6.42399e-005,7.97279e-005,6.42399e-005,2.44247e-005,3.03134e-005,2.44247e-005
64,8.56085,7.04383e-006,8.74208e-006,7.04383e-006,3.18795e-005,3.95656e-005,3.18795e-005,6.52302e-005,8.0957e-005,6.52302e-005,5.60999e-005,6.96255e-005,5.60999e-005,2.12427e-005,2.63642e-005,2.12427e-005
65,8.85861,6.05319e-006,7.51259e-006,6.05319e-006,2.74954e-005,3.41244e-005,2.74954e-005,5.63703e-005,6.9961e-005,5.63703e-005,4.80636e-005,5.96516e-005,4.80636e-005,1.77813e-005,2.20684e-005,1.77813e-005
66,9.16509,5.19215e-006,6.44397e-006,5.19215e-006,2.36466e-005,2.93477e-005,2.36466e-005,4.82445e-005,5.98761e-005,4.82445e-005,4.07407e-005,5.05631e-005,4.07407e-005,1.49029e-005,1.84959e-005,1.49029e-005
67,9.48056,4.75963e-006,5.90716e-006,4.75963e-006,2.11527e-005,2.62525e-005,2.11527e-005,4.18535e-005,5.19442e-005,4.18535e-005,3.43174e-005,4.25913e-005,3.43174e-005,1.22238e-005,1.51709e-005,1.22238e-005
68,9.80527,3.87669e-006,4.81135e-006,3.87669e-006,1.73372e-005,2.15171e-005,1.73372e-005,3.49438e-005,4.33686e-005,3.49438e-005,2.94274e-005,3.65222e-005,2.94274e-005,1.08765e-005,1.34988e-005,1.08765e-005
