gridnumber,capital,VF[0 0],VF[0 1],VF[0 2],VF[0 3],VF[0 4],VF[1 0],VF[1 1],VF[1 2],VF[1 3],VF[1 4],VF[2 0],VF[2 1],VF[2 2],VF[2 3],VF[2 4],VF[3 0],VF[3 1],VF[3 2],VF[3 3],VF[3 4],VF[4 0],VF[4 1],VF[4 2],VF[4 3],VF[4 4]
31,2.31725,-12.4043,-12.4043,-12.4041,-12.401,-12.3949,-11.9973,-11.9973,-11.9973,-11.9956,-11.9905,-11.5686,-11.5686,-11.5686,-11.5678,-11.5641,-11.1362,-11.1362,-11.1362,-11.1359,-11.1336,-10.7154,-10.7154,-10.7154,-10.7154,-10.7139
32,2.43204,-12.3026,-12.3026,-12.3025,-12.299,-12.292,-11.9075,-11.9075,-11.9075,-11.9055,-11.8999,-11.4909,-11.4909,-11.4909,-11.4899,-11.4861,-11.0699,-11.0699,-11.0699,-11.0694,-11.0663,-10.6586,-10.6586,-10.6586,-10.6585,-10.6567
33,2.5502,-12.202,-12.202,-12.2018,-12.1981,-12.1906,-11.8183,-11.8183,-11.8183,-11.816,-11.8103,-11.4137,-11.4137,-11.4137,-11.4126,-11.4084,-11.0032,-11.0032,-11.0032,-11.0028,-10.9995,-10.6019,-10.6019,-10.6019,-10.6019,-10.5994
34,2.67182,-12.1027,-12.1027,-12.102,-12.0981,-12.0904,-11.7307,-11.7307,-11.7304,-11.7275,-11.7216,-11.3375,-11.3375,-11.3375,-11.3357,-11.3308,-10.9368,-10.9368,-10.9368,-10.936,-10.9325,-10.5453,-10.5453,-10.5453,-10.5448,-10.5422
35,2.797,-12.0044,-12.0044,-12.0033,-11.9991,-11.9913,-11.6442,-11.6442,-11.6436,-11.6403,-11.6336,-11.2614,-11.2614,-11.2614,-11.2593,-11.2539,-10.8712,-10.8712,-10.8712,-10.8702,-10.8661,-10.4882,-10.4882,-10.4882,-10.4878,-10.4848
36,2.92586,-11.9076,-11.9076,-11.9062,-11.9014,-11.8934,-11.5581,-11.5581,-11.5576,-11.554,-11.5468,-11.1856,-11.1856,-11.1855,-11.1832,-11.1775,-10.8055,-10.8055,-10.8055,-10.8041,-10.7997,-10.4314,-10.4314,-10.4314,-10.4307,-10.427
37,3.05848,-11.8119,-11.8119,-11.8104,-11.8051,-11.7965,-11.4726,-11.4726,-11.472,-11.4682,-11.4607,-11.11,-11.11,-11.1097,-11.1072,-11.1014,-10.7398,-10.7398,-10.7398,-10.738,-10.7332,-10.3746,-10.3746,-10.3746,-10.3737,-10.3699
38,3.195,-11.7173,-11.7173,-11.7157,-11.7101,-11.7007,-11.3876,-11.3876,-11.3868,-11.3827,-11.375,-11.0357,-11.0357,-11.0352,-11.032,-11.0257,-10.6743,-10.6743,-10.6743,-10.672,-10.6667,-10.3176,-10.3176,-10.3176,-10.3165,-10.3124
39,3.33551,-11.6236,-11.6236,-11.6217,-11.616,-11.6064,-11.3037,-11.3037,-11.3024,-11.2977,-11.29,-10.9614,-10.9614,-10.9609,-10.9573,-10.9504,-10.6089,-10.6089,-10.6087,-10.6064,-10.6006,-10.2609,-10.2609,-10.2609,-10.2592,-10.2547
40,3.48015,-11.5308,-11.5308,-11.5286,-11.5226,-11.513,-11.2204,-11.2204,-11.219,-11.214,-11.2056,-10.887,-10.887,-10.8865,-10.8825,-10.8753,-10.5435,-10.5435,-10.5432,-10.5407,-10.535,-10.2037,-10.2037,-10.2037,-10.2019,-10.197
41,3.62902,-11.4388,-11.4388,-11.4363,-11.43,-11.4202,-11.1377,-11.1377,-11.1361,-11.1308,-11.122,-10.813,-10.813,-10.8121,-10.8082,-10.8008,-10.4786,-10.4786,-10.4784,-10.4752,-10.4692,-10.1462,-10.1462,-10.1461,-10.1441,-10.139
42,3.78225,-11.3481,-11.348,-11.345,-11.3383,-11.3284,-11.0553,-11.0553,-11.0534,-11.0478,-11.0388,-10.7398,-10.7398,-10.7386,-10.7342,-10.7265,-10.4138,-10.4138,-10.4134,-10.4098,-10.4032,-10.0891,-10.0891,-10.0889,-10.0864,-10.0807
43,3.93998,-11.2581,-11.2577,-11.2547,-11.2477,-11.2373,-10.9734,-10.9733,-10.9711,-10.9655,-10.9562,-10.6667,-10.6667,-10.6654,-10.6606,-10.6524,-10.3487,-10.3487,-10.3481,-10.3444,-10.3375,-10.0317,-10.0317,-10.0314,-10.0289,-10.0228
44,4.10232,-11.1687,-11.1683,-11.165,-11.1579,-11.1469,-10.8922,-10.8921,-10.8897,-10.8836,-10.8742,-10.5936,-10.5936,-10.5922,-10.5871,-10.5788,-10.2833,-10.2833,-10.2826,-10.2789,-10.2716,-9.9742,-9.9742,-9.97388,-9.97085,-9.96473
45,4.26943,-11.0799,-11.0796,-11.076,-11.0686,-11.0574,-10.8115,-10.8113,-10.8088,-10.8022,-10.7925,-10.5207,-10.5207,-10.519,-10.5138,-10.5053,-10.2187,-10.2187,-10.2176,-10.2132,-10.2059,-9.91664,-9.91664,-9.91606,-9.91255,-9.9063
