gridnumber,capital,VF[0 0],VF[1 0],VF[2 0],VF[3 0],VF[4 0]
129,64.8177,-9.1952,-9.16801,-9.13434,-9.09406,-9.04752
130,66.7641,-9.09358,-9.06729,-9.03473,-8.99576,-8.95072
131,68.7675,-8.9925,-8.96709,-8.93561,-8.89792,-8.85434
132,70.8295,-8.89198,-8.86742,-8.837,-8.80056,-8.7584
133,72.9521,-8.79203,-8.76831,-8.73892,-8.70368,-8.66289
134,75.1368,-8.69267,-8.66976,-8.64136,-8.6073,-8.56785
135,77.3855,-8.59391,-8.57178,-8.54435,-8.51143,-8.47328
136,79.7002,-8.49575,-8.47439,-8.4479,-8.41608,-8.37919
137,82.0826,-8.39822,-8.3776,-8.35202,-8.32127,-8.2856
138,84.5349,-8.30131,-8.28141,-8.25671,-8.22701,-8.19252
139,87.0591,-8.20505,-8.18584,-8.162,-8.13331,-8.09996
140,89.6572,-8.10943,-8.09089,-8.06789,-8.04017,-8.00794
141,92.3314,-8.01447,-7.99659,-7.97438,-7.94763,-7.91648
142,95.084,-7.92018,-7.90293,-7.88151,-7.85569,-7.82561
143,97.9173,-7.82657,-7.80993,-7.78926,-7.76435,-7.7353
144,100.834,-7.73364,-7.71759,-7.69766,-7.67363,-7.64559
145,103.835,-7.6414,-7.62593,-7.60671,-7.58353,-7.55647
146,106.925,-7.54986,-7.53495,-7.51641,-7.49406,-7.46795
147,110.105,-7.45903,-7.44465,-7.42679,-7.40524,-7.38004
148,113.379,-7.36891,-7.35506,-7.33784,-7.31706,-7.29275
149,116.748,-7.27951,-7.26616,-7.24957,-7.22954,-7.20609
150,120.216,-7.19084,-7.17798,-7.16199,-7.14269,-7.12007
151,123.786,-7.1029,-7.09051,-7.07511,-7.05651,-7.0347
152,127.461,-7.0157,-7.00377,-6.98892,-6.971,-6.94998
153,131.243,-6.92924,-6.91775,-6.90345,-6.88618,-6.86593
154,135.136,-6.84352,-6.83246,-6.81869,-6.80206,-6.78255
155,139.143,-6.75856,-6.7479,-6.73464,-6.71863,-6.69983
156,143.267,-6.67434,-6.66409,-6.65132,-6.6359,-6.6178
157,147.512,-6.59089,-6.58101,-6.56872,-6.55388,-6.53645
158,151.882,-6.50819,-6.49869,-6.48686,-6.47256,-6.45578
159,156.38,-6.42626,-6.41711,-6.40573,-6.39197,-6.37581
160,161.009,-6.34509,-6.33629,-6.32533,-6.31209,-6.29654
161,165.774,-6.26469,-6.25622,-6.24568,-6.23293,-6.21797
162,170.679,-6.18506,-6.17691,-6.16677,-6.1545,-6.1401
163,175.728,-6.10619,-6.09836,-6.0886,-6.0768,-6.06294
164,180.924,-6.0281,-6.02056,-6.01118,-5.99983,-5.98649
165,186.273,-5.95078,-5.94353,-5.9345,-5.92358,-5.91076
166,191.779,-5.87423,-5.86726,-5.85858,-5.84807,-5.83574
167,197.446,-5.79845,-5.79175,-5.7834,-5.7733,-5.76143
168,203.279,-5.72345,-5.717,-5.70897,-5.69926,-5.68785
169,209.282,-5.64921,-5.64301,-5.6353,-5.62596,-5.61498
170,215.462,-5.57575,-5.56979,-5.56237,-5.55339,-5.54284
171,221.823,-5.50305,-5.49733,-5.49019,-5.48156,-5.47142
172,228.37,-5.43112,-5.42562,-5.41877,-5.41047,-5.40072
173,235.11,-5.35996,-5.35467,-5.34809,-5.34011,-5.33074
174,242.046,-5.28957,-5.28448,-5.27815,-5.27049,-5.26148
175,249.186,-5.21993,-5.21505,-5.20897,-5.2016,-5.19294
176,256.535,-5.15106,-5.14637,-5.14052,-5.13344,-5.12512
177,264.1,-5.08294,-5.07844,-5.07282,-5.06602,-5.05802
178,271.886,-5.01558,-5.01125,-5.00586,-4.99932,-4.99164
