gridnumber,capital,policy[0 0],policy[0 1],policy[0 2],policy[0 3],policy[0 4],policy[0 5],policy[0 6],policy[1 0],policy[1 1],policy[1 2],policy[1 3],policy[1 4],policy[1 5],policy[1 6],policy[2 0],policy[2 1],policy[2 2],policy[2 3],policy[2 4],policy[2 5],policy[2 6],policy[3 0],policy[3 1],policy[3 2],policy[3 3],policy[3 4],policy[3 5],policy[3 6],policy[4 0],policy[4 1],policy[4 2],policy[4 3],policy[4 4],policy[4 5],policy[4 6],policy[5 0],policy[5 1],policy[5 2],policy[5 3],policy[5 4],policy[5 5],policy[5 6],policy[6 0],policy[6 1],policy[6 2],policy[6 3],policy[6 4],policy[6 5],policy[6 6]
21,0.437849,0.331362,0.331362,0.331362,0.331362,0.331362,0.331251,0.331251,0.331362,0.331362,0.331362,0.331362,0.331362,0.331288,0.331288,0.331362,0.331362,0.331362,0.331362,0.331362,0.331325,0.331325,0.331362,0.331362,0.331362,0.331362,0.331362,0.331362,0.331362,0.331362,0.331362,0.331362,0.331362,0.331362,0.331399,0.331399,0.331362,0.331362,0.331362,0.331362,0.331362,0.331436,0.331436,0.331362,0.331362,0.331362,0.331362,0.331362,0.331473,0.331473
22,0.461458,0.352008,0.352008,0.352008,0.352008,0.352008,0.35189,0.35189,0.352008,0.352008,0.352008,0.352008,0.352008,0.35193,0.35193,0.352008,0.352008,0.352008,0.352008,0.352008,0.351969,0.351969,0.352008,0.352008,0.352008,0.352008,0.352008,0.352008,0.352008,0.352008,0.352008,0.352008,0.352008,0.352008,0.352048,0.352048,0.352008,0.352008,0.352008,0.352008,0.352008,0.352087,0.352087,0.352008,0.352008,0.352008,0.352008,0.352008,0.352126,0.352126
23,0.485341,0.372965,0.372965,0.372965,0.372965,0.372841,0.372841,0.372717,0.372965,0.372965,0.372965,0.372965,0.372882,0.372882,0.372799,0.372965,0.372965,0.372965,0.372965,0.372923,0.372923,0.372882,0.372965,0.372965,0.372965,0.372965,0.372965,0.372965,0.372965,0.372965,0.372965,0.372965,0.372965,0.373006,0.373006,0.373047,0.372965,0.372965,0.372965,0.372965,0.373047,0.373047,0.37313,0.372965,0.372965,0.372965,0.372965,0.373089,0.373089,0.373213
24,0.5095,0.394163,0.394163,0.394163,0.394163,0.394032,0.394032,0.393902,0.394163,0.394163,0.394163,0.394163,0.394076,0.394076,0.393989,0.394163,0.394163,0.394163,0.394163,0.394119,0.394119,0.394076,0.394163,0.394163,0.394163,0.394163,0.394163,0.394163,0.394163,0.394163,0.394163,0.394163,0.394163,0.394206,0.394206,0.394249,0.394163,0.394163,0.394163,0.394163,0.394249,0.394249,0.394336,0.394163,0.394163,0.394163,0.394163,0.394293,0.394293,0.394423
25,0.533939,0.415653,0.415653,0.415653,0.415653,0.415515,0.415515,0.415378,0.415653,0.415653,0.415653,0.415653,0.415561,0.415561,0.415469,0.415653,0.415653,0.415653,0.415653,0.415607,0.415607,0.415561,0.415653,0.415653,0.415653,0.415653,0.415653,0.415653,0.415653,0.415653,0.415653,0.415653,0.415653,0.415698,0.415698,0.415744,0.415653,0.415653,0.415653,0.415653,0.415744,0.415744,0.415836,0.415653,0.415653,0.415653,0.415653,0.41579,0.41579,0.415927
26,0.558661,0.4375,0.4375,0.4375,0.4375,0.437356,0.437356,0.437212,0.4375,0.4375,0.4375,0.4375,0.437404,0.437404,0.437308,0.4375,0.4375,0.4375,0.4375,0.437452,0.437452,0.437404,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.437548,0.437548,0.437596,0.4375,0.4375,0.4375,0.4375,0.437596,0.437596,0.437692,0.4375,0.4375,0.4375,0.4375,0.437644,0.437644,0.437787
27,0.58367,0.45973,0.45973,0.45973,0.45973,0.459579,0.459579,0.459428,0.45973,0.45973,0.45973,0.45973,0.459629,0.459629,0.459528,0.45973,0.45973,0.45973,0.45973,0.45968,0.45968,0.459629,0.45973,0.45973,0.45973,0.45973,0.45973,0.45973,0.45973,0.45973,0.45973,0.45973,0.45973,0.45978,0.45978,0.459831,0.45973,0.45973,0.45973,0.45973,0.459831,0.459831,0.459931,0.45973,0.45973,0.45973,0.45973,0.459881,0.459881,0.460032
28,0.608968,0.482274,0.482274,0.482274,0.482274,0.482116,0.482116,0.481958,0.482274,0.482274,0.482274,0.482274,0.482169,0.482169,0.482063,0.482274,0.482274,0.482274,0.482274,0.482221,0.482221,0.482169,0.482274,0.482274,0.482274,0.482274,0.482274,0.482274,0.482274,0.482274,0.482274,0.482274,0.482274,0.482327,0.482327,0.48238,0.482274,0.482274,0.482274,0.482274,0.48238,0.48238,0.482485,0.482274,0.482274,0.482274,0.482274,0.482432,0.482432,0.48259
29,0.634559,0.505082,0.505082,0.505082,0.505082,0.504917,0.504917,0.504752,0.505082,0.505082,0.505082,0.505082,0.504972,0.504972,0.504862,0.505082,0.505082,0.505082,0.505082,0.505027,0.505027,0.504972,0.505082,0.505082,0.505082,0.505082,0.505082,0.505082,0.505082,0.505082,0.505082,0.505082,0.505082,0.505137,0.505137,0.505192,0.505082,0.505082,0.505082,0.505082,0.505192,0.505192,0.505302,0.505082,0.505082,0.505082,0.505082,0.505247,0.505247,0.505411
30,0.660447,0.528158,0.528158,0.528158,0.528158,0.527987,0.527987,0.527815,0.528158,0.528158,0.528158,0.528158,0.528044,0.528044,0.52793,0.528158,0.528158,0.528158,0.528158,0.528101,0.528101,0.528044,0.528158,0.528158,0.528158,0.528158,0.528158,0.528158,0.528158,0.528158,0.528158,0.528158,0.528158,0.528216,0.528216,0.528273,0.528158,0.528158,0.528158,0.528158,0.528273,0.528273,0.528387,0.528158,0.528158,0.528158,0.528158,0.52833,0.52833,0.528501
